codec,bitrate,bitrate_kbps,clean_delta_wer_pp,other_delta_wer_pp,other_minus_clean_delta_wer_pp
mp3,128k,128,-0.01966955153422,0.23931623931623,0.25898579085045
mp3,64k,64,-0.06884343036978,0.27350427350427,0.34234770387405
mp3,32k,32,0.10818253343823,0.68376068376068,0.57557815032245
mp3,24k,24,0.01966955153422,1.42450142450142,1.4048318729672
mp3,16k,16,0.91463414634146,3.73789173789173,2.82325759155027
opus,64k,64,0.01966955153422,0.06837606837606,0.048706516841840006
opus,32k,32,-0.03933910306845,0.10256410256410001,0.14190320563255002
opus,16k,16,0.009834775767112586,0.63817663817663,0.6283418624095174
opus,12k,12,0.32454760031470997,1.33333333333333,1.00878573301862
opus,8k,8,1.15066876475216,6.63247863247863,5.48180986772647
