dataset,codec,bitrate,num_samples,new_errors,recovered_errors,worsened_samples,improved_samples,unchanged_samples,wav_substitutions,compressed_substitutions,delta_substitutions,wav_deletions,compressed_deletions,delta_deletions,wav_insertions,compressed_insertions,delta_insertions
test-clean,mp3,128k,500,4,6,13,17,470,268,264,-4,18,20,2,36,36,0
test-clean,mp3,64k,500,8,7,13,21,466,268,262,-6,18,19,1,36,34,-2
test-clean,mp3,32k,500,26,20,43,38,419,268,278,10,18,21,3,36,34,-2
test-clean,mp3,24k,500,30,27,50,51,399,268,274,6,18,23,5,36,27,-9
test-clean,mp3,16k,500,65,16,101,36,363,268,353,85,18,33,15,36,29,-7
test-clean,opus,64k,500,4,5,8,9,483,268,266,-2,18,20,2,36,38,2
test-clean,opus,32k,500,9,8,18,21,461,268,265,-3,18,18,0,36,35,-1
test-clean,opus,16k,500,22,13,31,33,436,268,268,0,18,20,2,36,35,-1
test-clean,opus,12k,500,34,13,59,35,406,268,295,27,18,22,4,36,38,2
test-clean,opus,8k,500,64,15,114,35,351,268,372,104,18,32,14,36,35,-1
test-other,mp3,128k,500,9,6,36,20,444,598,609,11,61,68,7,66,69,3
test-other,mp3,64k,500,14,7,43,22,435,598,610,12,61,70,9,66,69,3
test-other,mp3,32k,500,27,10,85,39,376,598,644,46,61,72,11,66,69,3
test-other,mp3,24k,500,49,14,125,54,321,598,705,107,61,73,12,66,72,6
test-other,mp3,16k,500,88,8,215,47,238,598,878,280,61,103,42,66,72,6
test-other,opus,64k,500,5,4,21,16,463,598,601,3,61,62,1,66,68,2
test-other,opus,32k,500,12,14,48,36,416,598,606,8,61,61,0,66,67,1
test-other,opus,16k,500,35,14,94,46,360,598,653,55,61,67,6,66,61,-5
test-other,opus,12k,500,35,9,119,44,337,598,701,103,61,71,10,66,70,4
test-other,opus,8k,500,98,11,268,34,198,598,1088,490,61,123,62,66,96,30
