dataset_index,speaker_id,chapter_id,utterance_id,reference,wav_prediction,wav_wer,compressed_prediction,compressed_wer,compression_ratio,dataset,codec,bitrate,delta_sample_wer,wav_substitutions,wav_deletions,wav_insertions,compressed_substitutions,compressed_deletions,compressed_insertions,delta_substitutions,delta_deletions,delta_insertions,wav_correct,compressed_correct,new_error,recovered,worsened,improved,unchanged
1637,533,131564,13,NOT YEARS FOR SHE'S ONLY FIVE AND TWENTY,NOT YEARS FOR SHE'S ONLY FIVE AND TWENTY,0.0,NOT EARS FARSE'S ALWAYS HAVE AND PLENTY,0.75,30.964891749561147,test-other,opus,8k,0.75,0,0,0,5,1,0,5,1,0,True,False,True,False,True,False,False
593,3080,5040,18,DIRECTED FOR YOUR MASTER,DIRECTED FOR YOUR MASTER,0.0,DIRECTED FOOMASTA,0.75,33.89098196392786,test-other,opus,8k,0.75,0,0,0,1,2,0,1,2,0,True,False,True,False,True,False,False
807,3528,168669,112,REVEREND MOTHER WHAT,REVEREND MOTHER WHAT,0.0,REVERNUTER WHAT,0.6666666666666666,14.79445381300356,test-other,mp3,16k,0.6666666666666666,0,0,0,1,1,0,1,1,0,True,False,True,False,True,False,False
807,3528,168669,112,REVEREND MOTHER WHAT,REVEREND MOTHER WHAT,0.0,REVERNTER WHAT,0.6666666666666666,35.092444444444446,test-other,opus,8k,0.6666666666666666,0,0,0,1,1,0,1,1,0,True,False,True,False,True,False,False
317,2414,128292,27,THEY SLEEP QUIETLY THEY ENJOY THEIR NEW SECURITY,THEY SLEEP QUIETLY THEY ENJOY THEIR NEW SECURITY,0.0,DISLEY QUIETLY GANJOY A THEI NEW SECURITY,0.625,34.03417665335109,test-other,opus,8k,0.625,0,0,0,4,1,0,4,1,0,True,False,True,False,True,False,False
2021,6128,63244,8,THIS MIGHT SEEM ONE OF THE MOST ACCESSIBLE OF PLEASURES BUT IN POINT OF FACT SHE HAD NOT FOUND IT SO,THIS MIGHT SEEM ONE OF THE MOST ACCESSIBLE OF PLEASURES BUT IN POINT OF FACT SHE HAD NOT FOUND IT SO,0.0,IN LINT ING OF THE MONDEFESSABLE APPLEASIONS BUT INTINT TO FAST HE HAD NOT FOUND IT SO,0.6190476190476191,30.396585292796164,test-other,opus,8k,0.6190476190476191,0,0,0,9,4,0,9,4,0,True,False,True,False,True,False,False
1924,6070,86744,3,I CAN SCARCELY CREDIT IT,I CAN SCARCELY CREDIT IT,0.0,I AM SCARCELY DREADITED,0.6,14.734495034663668,test-other,mp3,16k,0.6,0,0,0,2,1,0,2,1,0,True,False,True,False,True,False,False
1924,6070,86744,3,I CAN SCARCELY CREDIT IT,I CAN SCARCELY CREDIT IT,0.0,I TAM SCARCELY CREADITED,0.6,30.39737147274836,test-other,opus,8k,0.6,0,0,0,2,1,0,2,1,0,True,False,True,False,True,False,False
757,260,123288,23,HE NODS HIS CONSENT,HE NODS HIS CONSENT,0.0,HE GNODS HIS CONCERT,0.5,14.711727325245525,test-clean,mp3,16k,0.5,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
2531,7975,280084,13,WHAT KEPT YOU SO LONG I ASKED PITTS,WHAT KEPT YOU SO LONG I ASKED PITTS,0.0,BUT KEPT YOU SO LONG ICED PITS,0.5,14.610809724733777,test-other,mp3,16k,0.5,0,0,0,3,1,0,3,1,0,True,False,True,False,True,False,False
1829,5764,299665,25,WHAT IS THIS POWER,WHAT IS THIS POWER,0.0,WHAT IS THES PARER,0.5,10.034909469844992,test-other,mp3,24k,0.5,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
593,3080,5040,18,DIRECTED FOR YOUR MASTER,DIRECTED FOR YOUR MASTER,0.0,DIRECTED FOR YOR MASTA,0.5,16.606048703849176,test-other,opus,16k,0.5,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
306,2414,128292,16,THE DEVIL HIMSELF IS PERHAPS SKIN,THE DEVIL HIMSELF IS PERHAPS SKIN,0.0,THE DEVIL HIMSELF BISPERHAPS SKINS,0.5,33.79698984949248,test-other,opus,8k,0.5,0,0,0,2,1,0,2,1,0,True,False,True,False,True,False,False
1446,4852,28311,3,O K HE SAID,O K HE SAID,0.0,OH CAN HE SAID,0.5,32.581833403097534,test-other,opus,8k,0.5,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
