layer,num_pairs,raw_cosine_mean,raw_cosine_std,standardised_cosine_mean,standardised_cosine_std
conv,50,0.04403775454149581,0.024419598021442623,0.01615811056923121,0.021228547114328013
layer_1,50,0.07628329664468765,0.03355712382973839,0.026273837010376156,0.025825549539239
layer_2,50,0.08246356684714556,0.03363624717228278,0.022359286239370703,0.022082688384905434
layer_3,50,0.09694872077554464,0.034818703804965614,0.02372312592691742,0.02187752891301011
layer_4,50,0.10705388598144054,0.03489462444189583,0.025007854513823986,0.023861899876647483
layer_5,50,0.11123249731957913,0.03333044529563035,0.029139034984982572,0.02474992490214478
layer_6,50,0.11782173499464989,0.033561552971663744,0.030245991576230154,0.027056226878778414
layer_7,50,0.129333316385746,0.03353020140728665,0.03303104852180695,0.029634636020066663
layer_8,50,0.13881943821907045,0.03259852025686022,0.02982890382350888,0.02929786341459944
layer_9,50,0.17849645152688026,0.03525183052594454,0.03495376356877387,0.03219994299661681
layer_10,50,0.29831817060709,0.03948474091446849,0.03931626988342032,0.04034340102752863
layer_11,50,0.9600006127357483,0.013863306884886909,0.0668757315876428,0.050169445105816
layer_12,50,0.42811809182167054,0.05334580449791898,0.07588434437289834,0.06508108388384098
