dataset,codec,bitrate,wav_correct_utterances,new_error_rate_all,l12_top_quartile_n,l12_top_quartile_new_error_rate,l12_bottom_quartile_n,l12_bottom_quartile_new_error_rate,lsd_top_quartile_n,lsd_top_quartile_new_error_rate,lsd_bottom_quartile_n,lsd_bottom_quartile_new_error_rate
test-clean,mp3,128k,317,0.012618296529968454,75,0.013333333333333334,85,0.011764705882352941,80,0.0,75,0.013333333333333334
test-clean,mp3,64k,317,0.025236593059936908,76,0.02631578947368421,81,0.012345679012345678,81,0.0,75,0.04
test-clean,mp3,32k,317,0.08201892744479496,78,0.1282051282051282,93,0.043010752688172046,80,0.05,77,0.12987012987012986
test-clean,mp3,24k,317,0.0946372239747634,77,0.15584415584415584,95,0.05263157894736842,77,0.07792207792207792,81,0.09876543209876543
test-clean,mp3,16k,317,0.20504731861198738,79,0.4050632911392405,84,0.07142857142857142,78,0.15384615384615385,82,0.17073170731707318
test-clean,opus,64k,317,0.012618296529968454,81,0.0,87,0.011494252873563218,86,0.0,69,0.014492753623188406
test-clean,opus,32k,317,0.028391167192429023,71,0.014084507042253521,86,0.023255813953488372,86,0.0,76,0.039473684210526314
test-clean,opus,16k,317,0.0694006309148265,73,0.1232876712328767,88,0.045454545454545456,81,0.06172839506172839,78,0.08974358974358974
test-clean,opus,12k,317,0.10725552050473186,74,0.20270270270270271,92,0.05434782608695652,80,0.0875,80,0.15
test-clean,opus,8k,317,0.20189274447949526,77,0.2987012987012987,86,0.06976744186046512,75,0.14666666666666667,80,0.25
test-clean,opus,6k,317,0.3312302839116719,70,0.6285714285714286,92,0.15217391304347827,75,0.32,81,0.30864197530864196
test-other,mp3,128k,208,0.04326923076923077,43,0.06976744186046512,69,0.014492753623188406,37,0.05405405405405406,56,0.017857142857142856
test-other,mp3,64k,208,0.0673076923076923,44,0.1590909090909091,72,0.05555555555555555,36,0.08333333333333333,59,0.03389830508474576
test-other,mp3,32k,208,0.12980769230769232,44,0.36363636363636365,69,0.057971014492753624,36,0.19444444444444445,60,0.11666666666666667
test-other,mp3,24k,208,0.23557692307692307,51,0.5098039215686274,71,0.1267605633802817,35,0.37142857142857144,63,0.2857142857142857
test-other,mp3,16k,208,0.4230769230769231,48,0.7916666666666666,70,0.12857142857142856,34,0.6176470588235294,60,0.43333333333333335
test-other,opus,64k,208,0.02403846153846154,44,0.0,62,0.016129032258064516,46,0.021739130434782608,65,0.015384615384615385
test-other,opus,32k,208,0.057692307692307696,38,0.15789473684210525,66,0.030303030303030304,37,0.02702702702702703,58,0.05172413793103448
test-other,opus,16k,208,0.16826923076923078,43,0.3953488372093023,73,0.0273972602739726,37,0.2702702702702703,58,0.13793103448275862
test-other,opus,12k,208,0.16826923076923078,40,0.45,72,0.027777777777777776,39,0.23076923076923078,60,0.13333333333333333
test-other,opus,8k,208,0.47115384615384615,56,0.8571428571428571,69,0.2318840579710145,34,0.5294117647058824,65,0.4461538461538462
test-other,opus,6k,208,0.6538461538461539,51,0.9607843137254902,56,0.375,35,0.7428571428571429,63,0.6349206349206349
