dataset,condition,sdrift_conv,sdrift_peak,peak_layer,sdrift_layer_12,conv_to_layer12_ratio,peak_to_layer12_ratio,raw_conv_to_layer12_ratio,raw_layer10_to_layer11_ratio
test-clean,MP3 128k,0.010485570192337,0.010485570192337,conv,0.0038364347219467,2.7331548566050845,2.7331548566050845,6.3709851195111495,35.92487053351324
test-clean,MP3 64k,0.0172816513776779,0.0172816513776779,conv,0.0054330357313156,3.180846258394325,3.180846258394325,7.304918701817943,30.061601450898355
test-clean,MP3 32k,0.0751560434103012,0.0794305810928344,layer_1,0.0210800944566726,3.565261226166453,3.7680372474655495,7.795012016458827,19.648239628370746
test-clean,MP3 24k,0.1444513655900955,0.1688805105686187,layer_2,0.0414477303028106,3.48514537550685,4.07454182255106,7.608473717557172,16.876577544596486
test-clean,MP3 16k,0.2279918279647827,0.2826386291980743,layer_2,0.0713989671468734,3.193209048749756,3.9585814822315846,6.6705796303598,12.480400508558944
test-clean,Opus 64k,0.0071221642494201,0.007630571603775,layer_8,0.0026107784509658,2.7279849221926176,2.9227189311878368,6.841321612821911,63.747457119744965
test-clean,Opus 32k,0.0407745923995971,0.0407745923995971,conv,0.0094924813508987,4.2954619442825415,4.2954619442825415,10.334865051678078,40.22034106279854
test-clean,Opus 16k,0.0950959912538528,0.0950959912538528,conv,0.0216341495513916,4.3956426864829465,4.3956426864829465,9.581645792172054,24.184827361041208
test-clean,Opus 12k,0.1384136925935745,0.1384136925935745,conv,0.0348797960281372,3.968305677072122,3.968305677072122,8.493631434045026,18.88410747231888
test-clean,Opus 8k,0.334571684718132,0.3478607997298241,layer_2,0.0857598832845687,3.9012609614679072,4.056218203743951,8.062331079526489,14.03566838944476
test-clean,Opus 6k,0.4077691238522529,0.4481562930345535,layer_2,0.1298681749105453,3.1398695187110235,3.450855402743965,6.230863704473125,11.035853244441851
test-other,MP3 128k,0.0125389529466629,0.0125389529466629,conv,0.0083127807378768,1.5083945242931456,1.5083945242931456,3.206003902928837,10.687412948468925
test-other,MP3 64k,0.0174252132177352,0.0174252132177352,conv,0.0109220774173736,1.5954119854540814,1.5954119854540814,3.3777236843402627,9.851596211684376
test-other,MP3 32k,0.0632858761548996,0.067673771739006,layer_2,0.0345228632688522,1.833158381506509,1.9602595303867445,3.7239852700519163,7.968957582382746
test-other,MP3 24k,0.1320997703075409,0.163922789812088,layer_2,0.0700714091062545,1.885216409837401,2.3393676808114368,3.7172737774261377,7.1159870029940775
test-other,MP3 16k,0.2082250410318374,0.2672133793830871,layer_2,0.1151572501659393,1.8081800384412554,2.320421675561356,3.4011474605702823,5.9944232018415855
test-other,Opus 64k,0.0087380625009536,0.0099674097299575,layer_8,0.0049348626136779,1.770679993549246,2.0197947765214272,4.0327948543380705,20.984367262659998
test-other,Opus 32k,0.047236437678337,0.047236437678337,conv,0.0179217715263366,2.6357013651759584,2.6357013651759584,5.772903095319586,13.204969576879282
test-other,Opus 16k,0.1027670367956161,0.1027670367956161,conv,0.0375286879539489,2.738359436432219,2.738359436432219,5.629966209625728,9.810509685133484
test-other,Opus 12k,0.1464864515066146,0.1464864515066146,conv,0.0572389928102493,2.5592073569887224,2.5592073569887224,4.999336570727925,8.299429789935429
test-other,Opus 8k,0.3530077234506607,0.3680306261181831,layer_2,0.1527637399435043,2.3108083343679033,2.409149096862185,4.256514923350057,6.309197411482551
test-other,Opus 6k,0.4250331596136093,0.4670819041728973,layer_2,0.2137512658834457,1.988447450156255,2.1851655579321236,3.487128307885531,5.4377603122273435
