dataset,codec,bitrate,condition,measured_bitrate_kbps,compression_ratio,wer_percent,delta_wer_pp,substitutions,deletions,insertions,reference_words,num_speakers,ci_lower_pp,ci_upper_pp,ci_excludes_zero,ci_utterance_lower_pp,ci_utterance_upper_pp,delta_substitutions,delta_deletions,delta_insertions,lsd_db,dspec_db2,retained_bandwidth_khz,hf_power_change_db,mean_delay_samples,sdrift_conv,sdrift_layer_1,sdrift_layer_6,sdrift_layer_12,raw_drift_layer_12
test-clean,wav,uncompressed,WAV,256.0825053039653,1.0,3.1667977970102283,8.326672684688674e-15,268,18,36,10168,,,,,,,,,,,,,,,,,,,
test-clean,mp3,128k,MP3 128k,130.17425381332083,1.9516504675367263,3.147128245476003,-0.019669551534216845,264,20,36,10168,40.0,-0.15804655434464635,0.11382607728020767,False,-0.1465273029207774,0.1173959445037352,-4.0,2.0,0.0,3.538259033083916,23.59462327903509,7.2923125,-0.9054338349148464,0.0,0.010485570192337,0.0095958015918731,0.0068178405761718,0.0038364347219467,0.0015355222225189
test-clean,mp3,64k,MP3 64k,65.11092651357355,3.901210680420344,3.0979543666404408,-0.06884343036977943,262,19,34,10168,40.0,-0.2126421910101607,0.07088345949925207,False,-0.1969861124790702,0.0679809653297076,-6.0,1.0,-2.0,4.149926893472672,27.85694678783417,7.292125,-0.8962491349457178,0.0,0.0172816513776779,0.0163650525808334,0.0093858088254928,0.0054330357313156,0.0022252311706542
test-clean,mp3,32k,MP3 32k,32.61734223476092,7.780779853574321,3.274980330448466,0.10818253343824608,278,21,34,10168,40.0,-0.12634638351907101,0.34502238848977723,False,-0.1262503641837425,0.3503348789283871,10.0,3.0,-2.0,6.307713982105256,53.54964120483398,7.2933125,-0.6170209858365285,0.0,0.0751560434103012,0.0794305810928344,0.0365978412628173,0.0210800944566726,0.0091462553739547
test-clean,mp3,24k,MP3 24k,24.522505693353512,10.337693370407612,3.1864673485444537,0.019669551534233498,274,23,27,10168,40.0,-0.26080933214920676,0.30784375697672683,False,-0.2625692891179618,0.308815272318922,6.0,5.0,-9.0,9.198711414337158,120.37263483810425,5.8345,-2.3192372771044654,0.0,0.1444513655900955,0.1594014959335327,0.0789765989780426,0.0414477303028106,0.0182272295951843
test-clean,mp3,16k,MP3 16k,16.427669151946112,15.398055353463034,4.081431943351692,0.9146341463414719,353,33,29,10168,40.0,0.6057499128708046,1.261316244532601,True,0.5865657521286662,1.2857142857142858,85.0,15.0,-7.0,11.666824580192566,186.05037520599365,5.59475,-3.685904643101292,0.0,0.2279918279647827,0.2640417000055313,0.128638480424881,0.0713989671468734,0.0331462783813476
test-clean,opus,64k,Opus 64k,71.52998301749294,3.5942193922526924,3.1864673485444537,0.019669551534233498,266,20,38,10168,40.0,-0.0648066215128566,0.11461769622130787,False,-0.0700490343240267,0.1223529411764703,-2.0,2.0,2.0,1.657177726984024,3.2580472486019136,8.0,-0.4308878036015784,0.0,0.0071221642494201,0.0065261186361312,0.0069589818716049,0.0026107784509658,0.0009629628658294
test-clean,opus,32k,Opus 32k,31.572344863377914,8.150348548495588,3.127458693941778,-0.039339103068442016,265,18,35,10168,40.0,-0.19844040643376623,0.12258861430840057,False,-0.1893184535671582,0.1196410767696908,-3.0,0.0,-1.0,3.980805772304535,18.192432236671447,8.0,-2.85317674896047,0.0,0.0407745923995971,0.0334256049394607,0.0229208681583404,0.0094924813508987,0.0036909271478652
test-clean,opus,16k,Opus 16k,16.05542426013921,15.9814982475634,3.176632572777341,0.009834775767120912,268,20,35,10168,40.0,-0.20591713817395021,0.23859549607287744,False,-0.1939765186319553,0.2240623477837315,0.0,2.0,-1.0,5.394030029296875,32.274479997634884,8.0,-2.8542662893163517,0.0,0.0950959912538528,0.0870806564092636,0.0432160680294036,0.0216341495513916,0.0092985687255859
test-clean,opus,12k,Opus 12k,12.22993467949969,20.93432032589105,3.491345397324941,0.32454760031472085,295,22,38,10168,40.0,0.05132987728152932,0.5964633488987179,True,0.0874805598755832,0.5665149215983812,27.0,4.0,2.0,5.853660299777984,37.4949483757019,8.0,-1.770598014927221,0.0,0.1384136925935745,0.1363627420663833,0.0639821206331253,0.0348797960281372,0.0153248847723007
