dataset,analysis,predictor,level,correlation,ci_lower,ci_upper,minus_lsd,minus_lsd_ci_lower,minus_lsd_ci_upper,minus_lsd_ci_excludes_zero
test-clean,condition_spearman,lsd_db,signal,0.7670764828304891,0.3327500724607145,0.9155226460485274,,,,
test-clean,condition_pearson,lsd_db,signal,0.7504103091021759,0.6622653363428465,0.8131846923200293,,,,
test-clean,utterance_pooled_spearman,lsd_db,signal,0.1532374062864982,0.119570087641346,0.1865785450848435,,,,
test-clean,within_condition_mean_spearman,lsd_db,signal,-0.0197818451173506,-0.0563104951364922,0.0219620012509892,,,,
test-clean,condition_spearman,spectral_distortion,signal,0.7740817475138726,0.3356643356643357,0.91068440883985,,,,
test-clean,condition_pearson,spectral_distortion,signal,0.8131353701296977,0.7307862328703706,0.8713916915114015,0.0627250610275218,0.0407680343209984,0.0839894388913678,True
test-clean,utterance_pooled_spearman,spectral_distortion,signal,0.1534598308397528,0.1202836397384651,0.1862502200757138,0.0002224245532546,-0.0033601298236617,0.0033201251889083,False
test-clean,within_condition_mean_spearman,spectral_distortion,signal,-0.0175594760084888,-0.0519354751513381,0.0222632868704016,0.0022223691088617,-0.0051180708796716,0.0081510091580806,False
test-clean,condition_spearman,bandwidth_loss_hz,signal,0.5229970555015737,0.2760262237369417,0.7409474110880921,,,,
test-clean,condition_pearson,bandwidth_loss_hz,signal,0.8088484685288734,0.7407312850306143,0.8518930470608977,0.0584381594266975,0.0125087706754836,0.0976509848475557,True
test-clean,utterance_pooled_spearman,bandwidth_loss_hz,signal,0.1667018521357698,0.1328242535802332,0.1981467140412248,0.0134644458492715,-0.0088514260996521,0.0314528340809424,False
test-clean,within_condition_mean_spearman,bandwidth_loss_hz,signal,-0.0087648162052449,-0.0511803804937184,0.0381848637586418,0.0110170289121056,-0.0484030883296553,0.0656300541019453,False
test-clean,condition_spearman,hf_power_loss_db,signal,0.5429080129622184,0.301742996950722,0.8105313052249921,,,,
test-clean,condition_pearson,hf_power_loss_db,signal,0.8586208045158046,0.7931558542942263,0.8991973736810793,0.1082104954136287,0.0120582756175237,0.1891245640872631,True
test-clean,utterance_pooled_spearman,hf_power_loss_db,signal,0.161926639957096,0.1312672166327955,0.1921671476559069,0.0086892336705977,-0.0147961376858802,0.0312061059848823,False
test-clean,within_condition_mean_spearman,hf_power_loss_db,signal,0.0231564226451299,-0.0171279667331082,0.0642077452100764,0.0429382677624805,-0.0062579868447923,0.0862688780370015,False
test-clean,condition_spearman,sdrift_conv,representation,0.7810870121972561,0.3916083916083916,0.938705467573384,,,,
test-clean,condition_pearson,sdrift_conv,representation,0.9324824911444922,0.8781411742225831,0.9595459453895392,0.1820721820423163,0.1354606171183474,0.2223223548655422,True
test-clean,utterance_pooled_spearman,sdrift_conv,representation,0.1873478871553865,0.1527058207856751,0.2211071917005067,0.0341104808688882,0.0186975872285294,0.0480969763244345,True
test-clean,within_condition_mean_spearman,sdrift_conv,representation,0.008776043255621,-0.0290703100443763,0.0486332004151085,0.0285578883729716,-0.0214221183706942,0.0707206384369154,False
test-clean,condition_spearman,sdrift_layer_1,representation,0.7810870121972561,0.3916083916083916,0.938705467573384,,,,
test-clean,condition_pearson,sdrift_layer_1,representation,0.9302385625648144,0.8736402003759492,0.9596354520061368,0.1798282534626384,0.1426126817092076,0.2138561572543549,True
test-clean,utterance_pooled_spearman,sdrift_layer_1,representation,0.1885221799578871,0.1531306849400479,0.2234664161286554,0.0352847736713888,0.0195926757283317,0.0486983652929037,True
test-clean,within_condition_mean_spearman,sdrift_layer_1,representation,0.0171624571326145,-0.0211704312170584,0.0604549523226896,0.0369443022499651,-0.0103079356221061,0.0779318722314893,False
test-clean,condition_spearman,sdrift_layer_6,representation,0.8056054385890982,0.3916083916083916,0.943685372373358,,,,
test-clean,condition_pearson,sdrift_layer_6,representation,0.9418301605699708,0.8898878391597052,0.967247028708252,0.1914198514677948,0.148367898025798,0.2310642370493399,True
test-clean,utterance_pooled_spearman,sdrift_layer_6,representation,0.1894851517833883,0.1511221740512392,0.2233048559397293,0.0362477454968901,0.0144293429887245,0.05551677332434,True
test-clean,within_condition_mean_spearman,sdrift_layer_6,representation,0.0320079271710427,-0.0171362534347323,0.0789830322405407,0.0517897722883933,-0.0212929139437088,0.1186558349889126,False
test-clean,condition_spearman,sdrift_layer_12,representation,0.7810870121972561,0.3922948222694739,0.9422080999150756,,,,
test-clean,condition_pearson,sdrift_layer_12,representation,0.9596383223475912,0.912289241712356,0.9794471270493832,0.2092280132454154,0.1629010385786791,0.2529039045410118,True
test-clean,utterance_pooled_spearman,sdrift_layer_12,representation,0.210208735831326,0.1703949973171463,0.2472280027332215,0.0569713295448278,0.0390742546804714,0.0727378374323894,True
test-clean,within_condition_mean_spearman,sdrift_layer_12,representation,0.0877808142616623,0.0450110513450974,0.1306842347206958,0.1075626593790129,0.0593461257105763,0.1521687872271133,True
test-other,condition_spearman,lsd_db,signal,0.993006993006993,0.9001765118147749,0.99124495269876,,,,
test-other,condition_pearson,lsd_db,signal,0.7857666010970126,0.7606633446308547,0.806919327348878,,,,
test-other,utterance_pooled_spearman,lsd_db,signal,0.3154222563187883,0.2707019729572953,0.3654170971186907,,,,
test-other,within_condition_mean_spearman,lsd_db,signal,0.0337334758369245,-0.0298285740464253,0.0959979467996108,,,,
test-other,condition_spearman,spectral_distortion,signal,0.986013986013986,0.9001765118147749,0.986013986013986,,,,
test-other,condition_pearson,spectral_distortion,signal,0.8396816016377164,0.8120640484100944,0.8632789520493601,0.0539150005407038,0.0457392682344934,0.062014572666333,True
test-other,utterance_pooled_spearman,spectral_distortion,signal,0.3144730213285815,0.2716705957268166,0.3611825806345086,-0.0009492349902067,-0.0113683613820483,0.0096775338636035,False
test-other,within_condition_mean_spearman,spectral_distortion,signal,0.0249458664651097,-0.0363890214998445,0.0847831042544583,-0.0087876093718147,-0.0275445476059732,0.0065492152922749,False
test-other,condition_spearman,bandwidth_loss_hz,signal,0.8193785757076022,0.6743558189451947,0.8209056213176606,,,,
test-other,condition_pearson,bandwidth_loss_hz,signal,0.8472484976218644,0.8214108193798637,0.8681057609598741,0.0614818965248518,0.0482245259951067,0.0755350043674222,True
test-other,utterance_pooled_spearman,bandwidth_loss_hz,signal,0.3279123228362443,0.2854283457151658,0.3721955664197566,0.0124900665174559,-0.0194843824609875,0.0431697237862691,False
test-other,within_condition_mean_spearman,bandwidth_loss_hz,signal,-0.0074038977668328,-0.0578189159312784,0.0431641218385277,-0.0411373736037573,-0.1025601634351952,0.0247426759075505,False
test-other,condition_spearman,hf_power_loss_db,signal,0.7622377622377622,0.6503496503496503,0.8601398601398601,,,,
test-other,condition_pearson,hf_power_loss_db,signal,0.9062639337850332,0.8811415004134757,0.9244442749479662,0.1204973326880206,0.0910708652770627,0.1458998667023177,True
test-other,utterance_pooled_spearman,hf_power_loss_db,signal,0.3177521647344121,0.2806820876272739,0.3528169444057208,0.0023299084156237,-0.0342633038747925,0.0387346344598801,False
test-other,within_condition_mean_spearman,hf_power_loss_db,signal,0.0609998388406457,0.0084154064120433,0.1091529794311126,0.0272663630037212,-0.0508595767200522,0.1091162910533632,False
test-other,condition_spearman,sdrift_conv,representation,0.965034965034965,0.8951048951048951,0.993006993006993,,,,
test-other,condition_pearson,sdrift_conv,representation,0.9558350315659362,0.940890385866922,0.9653596526456086,0.1700684304689236,0.1534083979292484,0.1848261359375183,True
test-other,utterance_pooled_spearman,sdrift_conv,representation,0.3589835352357906,0.3092352758892368,0.4071001934503181,0.0435612789170022,0.0110709148084476,0.0741704621329158,True
test-other,within_condition_mean_spearman,sdrift_conv,representation,0.014571701667006,-0.036351293751624,0.0583735194074902,-0.0191617741699184,-0.0898666120033478,0.052578549996768,False
test-other,condition_spearman,sdrift_layer_1,representation,0.972027972027972,0.8951048951048951,0.993006993006993,,,,
test-other,condition_pearson,sdrift_layer_1,representation,0.9528875262921974,0.937340541522914,0.9633644402261372,0.1671209251951848,0.1539447782043756,0.179497804030336,True
test-other,utterance_pooled_spearman,sdrift_layer_1,representation,0.3643274800221129,0.3163636189236063,0.4123513564615111,0.0489052237033246,0.0182177260201439,0.0774544674614481,True
test-other,within_condition_mean_spearman,sdrift_layer_1,representation,0.0365332290204337,-0.0203348037533165,0.0875342089469805,0.0027997531835092,-0.06347440764158,0.0727060670987978,False
test-other,condition_spearman,sdrift_layer_6,representation,0.972027972027972,0.8881118881118881,0.993006993006993,,,,
test-other,condition_pearson,sdrift_layer_6,representation,0.9630136759685264,0.9491458932713316,0.9719714886625016,0.1772470748715139,0.1627756765481772,0.1908904386098789,True
test-other,utterance_pooled_spearman,sdrift_layer_6,representation,0.3695357134158084,0.3200629879574163,0.4185141658261869,0.05411345709702,0.0180806529496964,0.0888527863536484,True
test-other,within_condition_mean_spearman,sdrift_layer_6,representation,0.0868861600657305,0.0431848402104648,0.1335161565540657,0.053152684228806,-0.022253867227143,0.132808139284816,False
test-other,condition_spearman,sdrift_layer_12,representation,0.972027972027972,0.8966346548638786,0.993006993006993,,,,
