dataset,codec,bitrate,bandwidth_loss_hz,lsd_db,sdrift_conv,sdrift_layer_12
test-clean,mp3,128k,0.0152848506793928,-0.0086251798734787,-0.0492105572962837,-0.0127236012585172
test-clean,mp3,16k,0.000582520562551,-0.0200150549792288,0.0455492419418699,0.2112687214945437
test-clean,mp3,24k,-0.0511665785672468,-0.0067261301840535,-0.0075258984924289,0.0223825621293889
test-clean,mp3,32k,-0.0617160626378025,-0.0334613723517842,-0.0124102810720566,0.0272194563389405
test-clean,mp3,64k,0.0130688805417102,0.0044832711467933,0.0525892887761136,-0.0235426742473158
test-clean,opus,12k,,-0.0382905573510114,0.0127780497902034,0.0762208443327349
test-clean,opus,16k,,-0.0425523798517594,-0.0078772373771662,0.0279413703749031
test-clean,opus,32k,,-0.0572204276215478,-0.0211405220750726,-0.0328774006501155
test-clean,opus,64k,,0.0200985252566179,0.0190680747029966,0.0238052435613732
test-clean,opus,6k,0.014098920550812,0.0055139245439653,0.0468111462444086,0.4043816820242579
test-clean,opus,8k,0.0084937554338686,-0.0408049150253693,0.0179051706692474,0.241512752778092
test-other,mp3,128k,-0.0292258629863781,0.0144906568385918,-0.0403164961216344,0.071270367905786
test-other,mp3,16k,-0.0372409669794829,0.0253742048547752,0.0601501990597154,0.3856374600352564
test-other,mp3,24k,-0.0361609867417366,0.0380690359546275,0.0284994969437661,0.262739016944382
test-other,mp3,32k,-0.004908934351407,-0.0240035092206703,-0.0519236379784131,0.1285725132643397
test-other,mp3,64k,-0.011896506501952,-0.0516853275466018,-0.1172741644316747,0.013448294833935
test-other,opus,12k,,0.0559334447084825,-0.0301547205165646,0.2090419270498267
test-other,opus,16k,,0.0908134457436418,0.0148194426719859,0.1596807240903353
test-other,opus,32k,,0.0051285030638998,-0.0498905171337303,0.0603534685456345
test-other,opus,64k,,0.0410346086139688,-0.033085845799656,0.030535531807864
test-other,opus,6k,0.0361618951540823,0.0842883035615964,0.1849587817904346,0.6414142436611343
test-other,opus,8k,0.0314440780390444,0.0916248676338575,0.1945061798528373,0.5318456941892914
