frequency_hz,mean_distortion_db,median_distortion_db
0.0,1.3515053,1.177995
31.25,0.71472543,0.61303985
62.5,0.73060477,0.6527498
93.75,0.75214547,0.64572906
125.0,0.7178854,0.6347976
156.25,0.6970182,0.6196419
187.5,0.6965735,0.6355969
218.75,0.6913889,0.63279706
250.0,0.7245216,0.671599
281.25,0.73538953,0.6702263
312.5,0.7531043,0.68412745
343.75,0.75192636,0.696536
375.0,0.75236493,0.7063451
406.25,0.7512,0.6901547
437.5,0.7617223,0.7141948
468.75,0.76097757,0.71322
500.0,0.7820151,0.7354574
531.25,0.80176574,0.77215946
562.5,0.80688226,0.7615496
593.75,0.8321179,0.79300797
625.0,0.84931445,0.794334
656.25,0.8559244,0.8195548
687.5,0.8762485,0.81953406
718.75,0.9105719,0.87805676
750.0,0.93805903,0.89299655
781.25,0.9303392,0.87221056
812.5,0.95457184,0.91004467
843.75,0.9787369,0.9315866
875.0,0.9650303,0.9290133
906.25,0.9859917,0.9381328
937.5,0.9952207,0.94024646
968.75,1.0081868,0.97357357
1000.0,1.0354943,1.0058813
1031.25,1.062331,1.0253832
1062.5,1.0876154,1.032157
1093.75,1.1009281,1.0474614
1125.0,1.1097195,1.0780001
1156.25,1.1261392,1.0833883
1187.5,1.1330296,1.1233003
1218.75,1.1385331,1.080807
1250.0,1.1530447,1.0746526
1281.25,1.1609738,1.137723
1312.5,1.1750242,1.1237013
1343.75,1.1855869,1.142231
1375.0,1.1746503,1.1445029
1406.25,1.1575558,1.131315
1437.5,1.1779191,1.1347432
1468.75,1.1648375,1.1138864
1500.0,1.1492611,1.1140997
1531.25,1.136006,1.0765274
1562.5,1.1464684,1.1241367
1593.75,1.1717467,1.1365738
1625.0,1.1633253,1.1432915
1656.25,1.1678699,1.1341865
1687.5,1.1779214,1.1394343
1718.75,1.1774048,1.1409793
1750.0,1.1934537,1.158963
1781.25,1.1795015,1.1364435
1812.5,1.1905775,1.1622525
1843.75,1.1916685,1.1631663
1875.0,1.2051895,1.1587635
1906.25,1.2051795,1.1626601
1937.5,1.2207575,1.1922982
1968.75,1.2519096,1.2275653
2000.0,1.2647963,1.2338741
2031.25,1.2710812,1.2639751
2062.5,1.2996694,1.283111
2093.75,1.3051993,1.2712038
2125.0,1.3027425,1.2792153
2156.25,1.2985054,1.2754354
2187.5,1.3188361,1.284945
2218.75,1.3289436,1.2974381
2250.0,1.3308907,1.2808976
2281.25,1.3329128,1.2985849
2312.5,1.3577489,1.3192132
2343.75,1.3678868,1.3472855
2375.0,1.3532311,1.3344584
2406.25,1.347081,1.3171296
2437.5,1.3410372,1.3205547
2468.75,1.3334479,1.3246201
2500.0,1.320299,1.2910023
2531.25,1.3301728,1.2938926
2562.5,1.3200896,1.2897189
