frequency_hz,mean_distortion_db,median_distortion_db
0.0,8.301345,7.432699
31.25,4.8698406,3.7223706
62.5,3.6211689,3.143927
93.75,3.2141688,3.0738854
125.0,2.9579258,2.6247027
156.25,2.8317814,2.6345313
187.5,2.8270693,2.626009
218.75,2.9576755,2.7697096
250.0,3.270822,3.0140195
281.25,3.4703515,3.3249269
312.5,3.5622854,3.2954793
343.75,3.5799546,3.3901184
375.0,3.6670768,3.4166784
406.25,3.7607164,3.5242233
437.5,3.8981106,3.6365438
468.75,3.9482763,3.6840808
500.0,4.0641026,3.7829514
531.25,4.1588035,3.880147
562.5,4.2752776,4.0245066
593.75,4.3797417,4.1682844
625.0,4.442885,4.22258
656.25,4.4718723,4.2675996
687.5,4.591762,4.356811
718.75,4.7152796,4.479747
750.0,4.7634716,4.535971
781.25,4.7756724,4.521385
812.5,4.8605366,4.5852966
843.75,4.9509654,4.712323
875.0,4.9922123,4.729646
906.25,5.0371904,4.7836
937.5,5.0184817,4.7900095
968.75,5.055982,4.861389
1000.0,5.0913997,4.883335
1031.25,5.1834135,4.973295
1062.5,5.190888,4.99089
1093.75,5.237055,5.060394
1125.0,5.232838,5.034252
1156.25,5.276655,5.0895357
1187.5,5.329599,5.1222076
1218.75,5.3868055,5.191536
1250.0,5.3632426,5.16492
1281.25,5.410187,5.179556
1312.5,5.4333096,5.261293
1343.75,5.4413977,5.2667637
1375.0,5.527695,5.3156443
1406.25,5.5623803,5.386281
1437.5,5.5369587,5.3769526
1468.75,5.601568,5.385402
1500.0,5.621466,5.411403
1531.25,5.6069202,5.392412
1562.5,5.641399,5.419295
1593.75,5.6113453,5.4106455
1625.0,5.663814,5.4610176
1656.25,5.673604,5.4784317
1687.5,5.724097,5.532323
1718.75,5.702042,5.507332
1750.0,5.7379937,5.529126
1781.25,5.8145823,5.5739408
1812.5,5.7560015,5.5148897
1843.75,5.7952952,5.547225
1875.0,5.849309,5.6003633
1906.25,5.8763256,5.6291447
1937.5,5.8379908,5.596497
1968.75,5.8650026,5.63799
2000.0,5.9185266,5.7147098
2031.25,5.8945355,5.6970396
2062.5,5.954071,5.7233706
2093.75,5.952432,5.7251945
2125.0,5.9737782,5.7360272
2156.25,5.965149,5.7443614
2187.5,6.023884,5.8205843
2218.75,6.0008135,5.7772923
2250.0,6.043797,5.8030777
2281.25,6.020152,5.8376036
2312.5,5.97137,5.7972345
2343.75,6.0025697,5.7853193
2375.0,6.05026,5.858372
2406.25,6.046058,5.8553953
2437.5,6.032994,5.832617
2468.75,6.0222816,5.8294234
2500.0,6.0412664,5.843177
2531.25,6.0708785,5.849553
2562.5,6.106792,5.8566494
2593.75,6.1307745,5.8825893
2625.0,6.1361027,5.925652
2656.25,6.120599,5.9362464
2687.5,6.127575,5.9590244
2718.75,6.1501217,5.9716043
2750.0,6.157316,5.9406877
2781.25,6.1573277,5.9657564
2812.5,6.196744,6.022237
2843.75,6.1915216,5.9860973
2875.0,6.16576,5.977663
2906.25,6.1422687,5.969347
2937.5,6.2132936,5.981411
2968.75,6.2549787,6.0594716
3000.0,6.2868633,6.1016006
3031.25,6.3257985,6.1246142
3062.5,6.3404436,6.0922
3093.75,6.3426857,6.1417084
3125.0,6.3556404,6.1281033
3156.25,6.3642726,6.1190686
3187.5,6.4099483,6.153642
3218.75,6.431571,6.193461
3250.0,6.507993,6.25517
3281.25,6.4832606,6.2802854
3312.5,6.4839716,6.271739
3343.75,6.5707994,6.321993
3375.0,6.5778904,6.3447595
3406.25,6.5607433,6.3920736
3437.5,6.6250625,6.410336
3468.75,6.6951885,6.4983163
3500.0,6.74615,6.531288
3531.25,6.874257,6.667593
3562.5,6.9844847,6.741941
3593.75,7.072687,6.8665104
3625.0,7.173036,6.9577003
3656.25,7.3261304,7.1279745
3687.5,7.470824,7.211493
3718.75,7.6154976,7.517033
3750.0,7.840687,7.6382732
3781.25,7.997313,7.854759
3812.5,8.078947,7.8847847
3843.75,8.26044,8.090347
3875.0,8.556639,8.356313
3906.25,8.85896,8.634263
3937.5,9.162881,8.960651
3968.75,9.603912,9.361516
4000.0,12.258401,12.119633
4031.25,10.285143,10.056457
4062.5,10.4884615,10.293625
4093.75,10.893416,10.743729
4125.0,11.33896,11.119217
4156.25,11.723607,11.54253
4187.5,11.955689,11.814184
4218.75,12.273323,11.995609
4250.0,12.699336,12.352121
4281.25,13.101768,12.812705
4312.5,13.535044,13.313843
4343.75,13.976471,13.493879
4375.0,14.427791,13.996708
4406.25,14.902355,14.4443
4437.5,15.568201,14.84744
4468.75,16.117393,15.56666
4500.0,16.656963,15.948118
4531.25,17.185406,16.3312
4562.5,17.83359,16.60459
4593.75,18.607237,17.421083
4625.0,19.359976,18.234177
4656.25,20.217527,19.201843
4687.5,21.083872,20.169338
4718.75,22.017523,20.832413
4750.0,23.036001,22.000189
4781.25,24.038166,22.866516
4812.5,25.087849,24.042217
4843.75,26.160128,25.336708
4875.0,27.40755,26.782927
4906.25,28.687973,28.210201
4937.5,29.970554,29.471682
4968.75,31.393095,31.036783
5000.0,32.84628,32.540718
5031.25,34.312828,33.889915
5062.5,35.90299,35.181515
5093.75,37.692394,37.233177
5125.0,39.550045,39.10866
5156.25,41.596783,40.983105
5187.5,43.883846,43.270744
5218.75,46.400547,45.69729
5250.0,49.083168,48.42052
5281.25,51.998497,51.360184
5312.5,55.305405,55.00948
5343.75,59.013634,58.538647
5375.0,63.282177,62.768154
5406.25,68.45898,68.1982
5437.5,74.67828,74.380714
5468.75,79.69125,79.51675
5500.0,79.97824,79.59071
5531.25,79.84862,79.413155
5562.5,81.42621,81.14891
5593.75,83.58088,83.03024
5625.0,83.94033,83.57887
5656.25,81.91117,81.844315
5687.5,80.0873,80.02505
5718.75,79.334145,79.07718
5750.0,79.05511,78.91498
5781.25,79.57798,79.46244
5812.5,80.4727,80.56001
5843.75,82.20053,81.99178
5875.0,84.51623,84.12098
5906.25,86.075676,85.69232
5937.5,84.453766,84.27056
5968.75,82.046425,81.96193
6000.0,80.49664,80.652374
6031.25,79.22584,79.03177
6062.5,78.60295,78.551674
6093.75,78.344284,78.29691
6125.0,78.55746,78.566895
6156.25,79.34862,79.22963
6187.5,80.73465,81.06124
6218.75,82.93338,83.30206
6250.0,85.3146,85.60161
6281.25,87.47928,88.03401
6312.5,85.69891,86.37361
6343.75,83.29885,83.63928
6375.0,81.41113,81.82564
6406.25,80.095505,80.20138
6437.5,79.321365,79.69674
6468.75,79.04111,79.29744
6500.0,79.23685,79.8152
6531.25,79.777054,80.45741
6562.5,80.53679,81.29813
6593.75,81.739265,82.53418
6625.0,83.58098,84.25923
6656.25,85.93803,86.78771
6687.5,88.55699,89.03682
6718.75,88.95517,89.51939
6750.0,86.40447,87.10131
6781.25,84.12022,84.72233
6812.5,82.44462,83.25703
6843.75,81.28296,82.1092
6875.0,80.65445,81.55711
6906.25,80.275665,80.746735
6937.5,80.11037,80.51876
6968.75,80.26683,80.578964
7000.0,80.78738,80.93869
7031.25,81.441864,81.45624
7062.5,82.64431,82.76796
7093.75,84.66224,84.537
7125.0,87.3869,87.60683
7156.25,89.10603,89.215645
7187.5,87.07344,86.93167
7218.75,84.0791,83.97587
7250.0,81.688034,81.7292
7281.25,79.720055,79.89633
7312.5,78.073845,78.56897
7343.75,76.76383,77.08995
7375.0,75.88265,76.50203
7406.25,75.295784,75.69232
7437.5,75.082085,75.77183
7468.75,75.15669,75.18059
7500.0,75.50119,75.34317
7531.25,76.364944,76.35784
7562.5,77.726006,77.52905
7593.75,79.897995,80.14116
7625.0,83.199875,82.85758
7656.25,85.85661,85.9901
7687.5,85.06788,84.92662
7718.75,81.915886,81.35283
7750.0,78.654816,77.96594
7781.25,75.748604,76.251114
7812.5,74.06464,74.810585
7843.75,73.950035,72.88729
7875.0,75.15781,72.90938
7906.25,76.68863,74.246086
7937.5,77.54077,75.24686
7968.75,77.94616,76.449005
8000.0,77.685715,76.916855
