dataset,condition,codec,bitrate,aggregate_actual_bitrate_kbps,lsd_db_mean,spectral_distortion_mean,retained_bandwidth_mean_hz,hf_power_change_mean_db,conv_drift,layer_1_drift,layer_12_drift,layer_6_drift,conv_raw_drift,layer_1_raw_drift,layer_12_raw_drift,layer_6_raw_drift,ci_lower_pp,ci_upper_pp,wer_percent,delta_wer_percentage_points
test-clean,WAV,wav,uncompressed,256.0825053039653,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16679779701022,0.0
test-clean,MP3 128k,mp3,128k,130.17425381332083,3.538259033083916,23.59462327903509,7292.3125,-0.9054338349148464,0.010485570192337,0.0095958015918731,0.0038364347219467,0.0068178405761718,0.0097827892303466,0.0071241101026535,0.0015355222225189,0.0049455307722091,-0.1465273029207774,0.1173959445037352,3.147128245476,-0.01966955153422
test-clean,MP3 64k,mp3,64k,65.11092651357355,4.149926893472672,27.85694678783417,7292.125,-0.8962491349457178,0.0172816513776779,0.0163650525808334,0.0054330357313156,0.0093858088254928,0.0162551327943801,0.0119639108180999,0.0022252311706542,0.0068305937051773,-0.1969861124790702,0.0679809653297076,3.09795436664044,-0.06884343036978
test-clean,MP3 32k,mp3,32k,32.61734223476092,6.307713982105256,53.54964120483398,7293.3125,-0.6170209858365285,0.0751560434103012,0.0794305810928344,0.0210800944566726,0.0365978412628173,0.071295170545578,0.0573154315948486,0.0091462553739547,0.0269714422225952,-0.1262503641837425,0.3503348789283871,3.27498033044846,0.10818253343823
test-clean,MP3 24k,mp3,24k,24.522505693353512,9.198711414337158,120.37263483810425,5834.5,-2.3192372771044654,0.1444513655900955,0.1594014959335327,0.0414477303028106,0.0789765989780426,0.13868139731884,0.1158227052688598,0.0182272295951843,0.0585220681428909,-0.2625692891179618,0.308815272318922,3.18646734854445,0.01966955153422
test-clean,MP3 16k,mp3,16k,16.427669151946112,11.666824580192566,186.05037520599365,5594.75,-3.685904643101292,0.2279918279647827,0.2640417000055313,0.0713989671468734,0.128638480424881,0.2211048893928527,0.1957787370681762,0.0331462783813476,0.095886850118637,0.5865657521286662,1.2857142857142858,4.0814319433516895,0.91463414634146
test-clean,OPUS 64k,opus,64k,71.52998301749294,1.657177726984024,3.2580472486019136,8000.0,-0.4308878036015784,0.0071221642494201,0.0065261186361312,0.0026107784509658,0.0069589818716049,0.0065879386663436,0.0046220799684524,0.0009629628658294,0.0051827622652053,-0.0700490343240267,0.1223529411764703,3.18646734854445,0.01966955153422
test-clean,OPUS 32k,opus,32k,31.572344863377914,3.980805772304535,18.192432236671447,8000.0,-2.85317674896047,0.0407745923995971,0.0334256049394607,0.0094924813508987,0.0229208681583404,0.0381452339887619,0.02447476708889,0.0036909271478652,0.0173111606836318,-0.1893184535671582,0.1196410767696908,3.1274586939417706,-0.03933910306845
test-clean,OPUS 16k,opus,16k,16.05542426013921,5.394030029296875,32.274479997634884,8000.0,-2.8542662893163517,0.0950959912538528,0.0870806564092636,0.0216341495513916,0.0432160680294036,0.0890955919027328,0.0624940940141677,0.0092985687255859,0.0330214186906814,-0.1939765186319553,0.2240623477837315,3.1766325727773403,0.009834775767112586
test-clean,OPUS 12k,opus,12k,12.22993467949969,5.853660299777984,37.4949483757019,8000.0,-1.770598014927221,0.1384136925935745,0.1363627420663833,0.0348797960281372,0.0639821206331253,0.1301639230251312,0.0978684694766998,0.0153248847723007,0.0488837723731994,0.0874805598755832,0.5665149215983812,3.49134539732494,0.32454760031470997
test-clean,OPUS 8k,opus,8k,8.13442004762532,11.433259075164797,178.88012836456298,4616.125,-17.341605532637764,0.334571684718132,0.322901480436325,0.0857598832845687,0.1626619613170623,0.3225885857343674,0.245298455953598,0.0400118256807327,0.1239240214824676,0.8142493638676844,1.512055578259093,4.31746656176239,1.15066876475216
test-clean,OPUS 6k,opus,6k,6.319358363919817,11.618488951683045,181.18448080444333,4668.0,-15.253515321055,0.4077691238522529,0.4142597853541374,0.1298681749105453,0.2160754348039627,0.3921565323472023,0.3141897709369659,0.0629377484321594,0.1643486419916153,1.8572432486698127,2.7569169960474307,5.44846577498033,2.2816679779701
test-other,WAV,wav,uncompressed,256.09595231538947,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26210826210826,0.0
test-other,MP3 128k,mp3,128k,130.54011366120693,3.2123598918914795,22.616148112773896,7289.6875,-0.9398976371219372,0.0125389529466629,0.0117886064052581,0.0083127807378768,0.0102372168302536,0.011681594133377,0.0088355585336685,0.0036436618566513,0.0072614798545837,0.0469759248385215,0.4314868804664723,8.5014245014245,0.23931623931623
test-other,MP3 64k,mp3,64k,65.29773538311973,3.730057197809219,25.99027564394474,7287.375,-0.9270110675597448,0.0174252132177352,0.016654907464981,0.0109220774173736,0.0130508847236633,0.0162977621555328,0.0123417884111404,0.004825072646141,0.0093283284902572,0.0612219909391462,0.4859193815571511,8.53561253561253,0.27350427350427
test-other,MP3 32k,mp3,32k,32.72083192810216,5.572669718503952,46.78235108947754,7287.0625,-0.664780915320007,0.0632858761548996,0.0664409594535827,0.0345228632688522,0.0424846158027648,0.0596788753271102,0.0485181781053543,0.016025540113449,0.0306931015253067,0.3297170814720279,1.0420206138860575,8.94586894586894,0.68376068376068
test-other,MP3 24k,mp3,24k,24.609820327367284,8.09619177389145,104.90985491085053,5820.625,-2.4976023342099607,0.1320997703075409,0.1471912589073181,0.0700714091062545,0.0995377190113067,0.1268235619068145,0.1088056854009628,0.0341173584461212,0.0716877462863922,0.9898737057685748,1.9086050823426763,9.68660968660968,1.42450142450142
