dataset,codec,bitrate,corpus_delta_wer_pp,lsd_db,spectral_distortion,bandwidth_loss_hz,hf_power_loss_db,sdrift_conv,sdrift_layer_1,sdrift_layer_2,sdrift_layer_3,sdrift_layer_4,sdrift_layer_5,sdrift_layer_6,sdrift_layer_7,sdrift_layer_8,sdrift_layer_9,sdrift_layer_10,sdrift_layer_11,sdrift_layer_12
test-clean,mp3,128k,-0.01966955153422502,3.5382590330839157,23.59462327903509,707.6875,0.9054338349148459,0.010485570048000001,0.009595799404000002,0.009152948038000003,0.008334114271999996,0.007044027961999991,0.006232561647999999,0.006817840700000002,0.0068352438028000005,0.0069011871127999955,0.006540057873999998,0.006004346975199995,0.0035304305252,0.003836434535400001
test-clean,mp3,64k,-0.06884343036978757,4.149926893472672,27.85694678783417,707.875,0.8962491349457173,0.017281649140000018,0.016365053920000018,0.01575042714,0.014391218179999993,0.01138442334,0.009218661680000002,0.009385808519999997,0.009021528739999996,0.008766160114,0.008152510826000011,0.007255137167999994,0.004616604027999998,0.0054330349200000004
test-clean,mp3,32k,0.10818253343823762,6.3077139821052555,53.54964120483398,706.6875,0.6170209858365286,0.07515604219999998,0.07943058079999987,0.07877111519999999,0.07325044140000005,0.056080531000000024,0.0408131358,0.036597842000000026,0.032713489199999994,0.029498430040000006,0.02600713408,0.021156014520000002,0.017364659380000015,0.02108009293999999
test-clean,mp3,24k,0.01966955153422502,9.198711414337158,120.37263483810425,2165.5,2.3192372771044654,0.1444513726,0.15940150040000003,0.16888049859999996,0.15464254559999996,0.12426514539999982,0.09232357100000003,0.07897659640000002,0.069933044,0.061129759600000014,0.05236612360000004,0.03960474520000003,0.035887152200000015,0.041447730999999995
test-clean,mp3,16k,0.9146341463414633,11.666824580192566,186.05037520599365,2405.25,3.6859046431012916,0.22799181999999987,0.26404169599999994,0.28263864000000033,0.25889073600000007,0.209152658,0.15512846820000004,0.1286384717999999,0.11122168539999994,0.09566157920000007,0.08065914200000007,0.06241106660000001,0.06295733439999993,0.07139897359999998
test-clean,opus,64k,0.01966955153422502,1.657177726984024,3.2580472486019136,0.0,0.43088780360157836,0.00712216433999999,0.006526118600000001,0.005841199399999994,0.005575684340000003,0.0056036166,0.006185511365999999,0.006958981613999997,0.007197131962000002,0.007630571467999993,0.007432356860000006,0.007383858714,0.0033798321059999993,0.002610778553999997
test-clean,opus,32k,-0.03933910306845004,3.9808057723045347,18.192432236671447,0.0,2.8531767489604665,0.04077459300000006,0.033425606399999995,0.031054746799999988,0.02856837980000001,0.025208313720000004,0.022560049699999987,0.022920868740000013,0.022102557739999997,0.02160412986000002,0.02010279632000001,0.017359524859999996,0.010044541940000002,0.009492481600000007
test-clean,opus,16k,0.00983477576711251,5.394030029296875,32.274479997634884,0.0,2.8542662893163557,0.09509598840000011,0.08708066059999996,0.0822484228,0.07414471,0.06081317119999999,0.047396938799999996,0.04321606959999996,0.0394791974,0.03725439479999999,0.03373366051999999,0.029099651439999985,0.019938058560000006,0.021634147340000007
test-clean,opus,12k,0.3245476003147128,5.853660299777984,37.4949483757019,0.0,1.7705980149272196,0.1384136989999998,0.13636273920000003,0.1326001706,0.12003512559999986,0.09716094519999996,0.07286307140000005,0.06398211620000002,0.05691158979999997,0.05224461059999996,0.046380877800000005,0.03947416318000005,0.0306209152,0.034879793399999984
test-clean,opus,8k,1.1506687647521636,11.433259075164795,178.88012836456298,3383.875,17.341605532637775,0.334571678,0.3229014779999999,0.34786079,0.32437794,0.2697228219999999,0.19886274780000032,0.16266198160000014,0.13820429900000009,0.11986073100000008,0.10233969879999995,0.08491578920000001,0.07954548900000004,0.08575988339999992
