dataset,analysis,predictor,level,correlation,ci_lower,ci_upper
test-clean,condition_spearman,lsd_db,signal,0.7670764828304891,0.3327500724607145,0.9155226460485274
test-clean,condition_pearson,lsd_db,signal,0.7504103091021759,0.6622653363428465,0.8131846923200293
test-clean,utterance_pooled_spearman,lsd_db,signal,0.15323740628649826,0.11957008764134602,0.18657854508484356
test-clean,within_condition_mean_spearman,lsd_db,signal,-0.01978184511735063,-0.056310495136492215,0.021962001250989214
test-clean,condition_spearman,spectral_distortion,signal,0.7740817475138726,0.3356643356643357,0.9106844088398501
test-clean,condition_pearson,spectral_distortion,signal,0.8131353701296977,0.7307862328703706,0.8713916915114015
test-clean,utterance_pooled_spearman,spectral_distortion,signal,0.15345983083975287,0.12028363973846515,0.1862502200757138
test-clean,within_condition_mean_spearman,spectral_distortion,signal,-0.01755947600848886,-0.051935475151338124,0.022263286870401668
test-clean,condition_spearman,bandwidth_loss_hz,signal,0.5229970555015737,0.2760262237369417,0.7409474110880921
test-clean,condition_pearson,bandwidth_loss_hz,signal,0.8088484685288734,0.7407312850306143,0.8518930470608977
test-clean,utterance_pooled_spearman,bandwidth_loss_hz,signal,0.16670185213576982,0.13282425358023328,0.19814671404122483
test-clean,within_condition_mean_spearman,bandwidth_loss_hz,signal,-0.008764816205244939,-0.05118038049371849,0.038184863758641885
test-clean,condition_spearman,hf_power_loss_db,signal,0.5429080129622184,0.30174299695072204,0.8105313052249921
test-clean,condition_pearson,hf_power_loss_db,signal,0.8586208045158046,0.7931558542942263,0.8991973736810793
test-clean,utterance_pooled_spearman,hf_power_loss_db,signal,0.16192663995709602,0.13126721663279559,0.19216714765590695
test-clean,within_condition_mean_spearman,hf_power_loss_db,signal,0.023156422645129907,-0.017127966733108232,0.06420774521007648
test-clean,condition_spearman,sdrift_conv,representation,0.7810870121972561,0.3916083916083916,0.9387054675733839
test-clean,condition_pearson,sdrift_conv,representation,0.9324824911444922,0.8781411742225831,0.9595459453895393
test-clean,utterance_pooled_spearman,sdrift_conv,representation,0.1873478871553865,0.1527058207856751,0.2211071917005067
test-clean,within_condition_mean_spearman,sdrift_conv,representation,0.008776043255621048,-0.029070310044376317,0.04863320041510853
test-clean,condition_spearman,sdrift_layer_1,representation,0.7810870121972561,0.3916083916083916,0.9387054675733839
test-clean,condition_pearson,sdrift_layer_1,representation,0.9302385625648143,0.8736402003759492,0.9596354520061369
test-clean,utterance_pooled_spearman,sdrift_layer_1,representation,0.18852217995788714,0.1531306849400479,0.22346641612865548
test-clean,within_condition_mean_spearman,sdrift_layer_1,representation,0.017162457132614543,-0.021170431217058406,0.06045495232268962
test-clean,condition_spearman,sdrift_layer_2,representation,0.7810870121972561,0.3916083916083916,0.9387054675733839
test-clean,condition_pearson,sdrift_layer_2,representation,0.9349222834511561,0.8799327693395324,0.9628774390972351
test-clean,utterance_pooled_spearman,sdrift_layer_2,representation,0.1882436441608222,0.15189660402003385,0.2232289269635599
test-clean,within_condition_mean_spearman,sdrift_layer_2,representation,0.019007317839928175,-0.022589127531600403,0.06161735029329155
test-clean,condition_spearman,sdrift_layer_3,representation,0.7810870121972561,0.39227766150294685,0.9387930333819258
test-clean,condition_pearson,sdrift_layer_3,representation,0.937941973843157,0.8841072767093815,0.9650526961123147
test-clean,utterance_pooled_spearman,sdrift_layer_3,representation,0.18892329727481946,0.15232692372592668,0.2237189704476932
test-clean,within_condition_mean_spearman,sdrift_layer_3,representation,0.022827150856257694,-0.01803024623935673,0.06268972358238953
test-clean,condition_spearman,sdrift_layer_4,representation,0.7810870121972561,0.3916083916083916,0.9387467475291029
test-clean,condition_pearson,sdrift_layer_4,representation,0.9432570843211924,0.8914852054004014,0.9685723359106025
test-clean,utterance_pooled_spearman,sdrift_layer_4,representation,0.1891817443558762,0.15173382519562348,0.22413607467145527
test-clean,within_condition_mean_spearman,sdrift_layer_4,representation,0.02416922924980351,-0.0199693129570125,0.06733512267704508
test-clean,condition_spearman,sdrift_layer_5,representation,0.7810870121972561,0.3916083916083916,0.9422080999150757
test-clean,condition_pearson,sdrift_layer_5,representation,0.9447068185357264,0.8939395074211608,0.9692276062067289
test-clean,utterance_pooled_spearman,sdrift_layer_5,representation,0.1897984738582216,0.15191601225385978,0.22479036705289313
test-clean,within_condition_mean_spearman,sdrift_layer_5,representation,0.02828533796233703,-0.019627800284029984,0.07378541978457988
test-clean,condition_spearman,sdrift_layer_6,representation,0.8056054385890982,0.3916083916083916,0.9436853723733581
test-clean,condition_pearson,sdrift_layer_6,representation,0.9418301605699707,0.8898878391597052,0.9672470287082521
test-clean,utterance_pooled_spearman,sdrift_layer_6,representation,0.18948515178338837,0.15112217405123923,0.22330485593972937
test-clean,within_condition_mean_spearman,sdrift_layer_6,representation,0.032007927171042755,-0.01713625343473239,0.07898303224054078
test-clean,condition_spearman,sdrift_layer_7,representation,0.8056054385890982,0.3916083916083916,0.9438702214493846
test-clean,condition_pearson,sdrift_layer_7,representation,0.9378023141322678,0.8844323637327449,0.9641050375425609
test-clean,utterance_pooled_spearman,sdrift_layer_7,representation,0.1895818122681776,0.15060465157475733,0.22412664048193048
test-clean,within_condition_mean_spearman,sdrift_layer_7,representation,0.035954343574200236,-0.014754929609357346,0.0854138067660247
test-clean,condition_spearman,sdrift_layer_8,representation,0.8056054385890982,0.3922948222694739,0.9440559440559441
test-clean,condition_pearson,sdrift_layer_8,representation,0.9360215044148352,0.8824532300115799,0.9626810636551995
test-clean,utterance_pooled_spearman,sdrift_layer_8,representation,0.18910878992895808,0.14986366322101208,0.22413527868245095
test-clean,within_condition_mean_spearman,sdrift_layer_8,representation,0.03777989951913562,-0.015075932971800684,0.08869693254980009
test-clean,condition_spearman,sdrift_layer_9,representation,0.8056054385890982,0.3986013986013986,0.9457107322567674
test-clean,condition_pearson,sdrift_layer_9,representation,0.9335902651881502,0.878941618171995,0.9602967432747517
test-clean,utterance_pooled_spearman,sdrift_layer_9,representation,0.19105752260754694,0.15204793871092812,0.2258965667458656
test-clean,within_condition_mean_spearman,sdrift_layer_9,representation,0.04466300503900356,-0.007555963698434025,0.09459334372453207
test-clean,condition_spearman,sdrift_layer_10,representation,0.8441343943477072,0.4125874125874126,0.958041958041958
test-clean,condition_pearson,sdrift_layer_10,representation,0.9458173338708468,0.8957939544338849,0.9694814686319435
test-clean,utterance_pooled_spearman,sdrift_layer_10,representation,0.192674803407923,0.15384577008698203,0.22746425423944366
test-clean,within_condition_mean_spearman,sdrift_layer_10,representation,0.051155812137219155,-0.0003919250988177744,0.09889861181412157
test-clean,condition_spearman,sdrift_layer_11,representation,0.7810870121972561,0.3916083916083916,0.9387467475291029
test-clean,condition_pearson,sdrift_layer_11,representation,0.9658306226348973,0.9218881525508743,0.9828176483759492
test-clean,utterance_pooled_spearman,sdrift_layer_11,representation,0.2070473661862996,0.16854808645918812,0.24194816209127062
test-clean,within_condition_mean_spearman,sdrift_layer_11,representation,0.07737500655210257,0.030507409359242826,0.1173334532097283
test-clean,condition_spearman,sdrift_layer_12,representation,0.7810870121972561,0.3922948222694739,0.9422080999150757
test-clean,condition_pearson,sdrift_layer_12,representation,0.9596383223475913,0.912289241712356,0.9794471270493833
test-clean,utterance_pooled_spearman,sdrift_layer_12,representation,0.21020873583132607,0.17039499731714633,0.24722800273322157
test-clean,within_condition_mean_spearman,sdrift_layer_12,representation,0.08778081426166236,0.045011051345097405,0.13068423472069587
test-other,condition_spearman,lsd_db,signal,0.993006993006993,0.9001765118147749,0.9912449526987599
test-other,condition_pearson,lsd_db,signal,0.7857666010970126,0.7606633446308547,0.806919327348878
test-other,utterance_pooled_spearman,lsd_db,signal,0.31542225631878834,0.2707019729572953,0.36541709711869075
test-other,within_condition_mean_spearman,lsd_db,signal,0.0337334758369245,-0.029828574046425357,0.09599794679961081
test-other,condition_spearman,spectral_distortion,signal,0.986013986013986,0.9001765118147749,0.986013986013986
test-other,condition_pearson,spectral_distortion,signal,0.8396816016377164,0.8120640484100944,0.8632789520493601
test-other,utterance_pooled_spearman,spectral_distortion,signal,0.31447302132858157,0.2716705957268166,0.3611825806345086
test-other,within_condition_mean_spearman,spectral_distortion,signal,0.024945866465109778,-0.036389021499844576,0.08478310425445838
test-other,condition_spearman,bandwidth_loss_hz,signal,0.8193785757076022,0.6743558189451947,0.8209056213176606
test-other,condition_pearson,bandwidth_loss_hz,signal,0.8472484976218644,0.8214108193798637,0.8681057609598741
test-other,utterance_pooled_spearman,bandwidth_loss_hz,signal,0.32791232283624433,0.28542834571516584,0.37219556641975665
test-other,within_condition_mean_spearman,bandwidth_loss_hz,signal,-0.007403897766832868,-0.0578189159312784,0.043164121838527754
test-other,condition_spearman,hf_power_loss_db,signal,0.7622377622377622,0.6503496503496503,0.8601398601398601
test-other,condition_pearson,hf_power_loss_db,signal,0.9062639337850332,0.8811415004134757,0.9244442749479662
test-other,utterance_pooled_spearman,hf_power_loss_db,signal,0.3177521647344121,0.2806820876272739,0.35281694440572087
