dataset,analysis,predictor,reference_predictor,difference,ci_lower,ci_upper,ci_excludes_zero
test-clean,condition_pearson,spectral_distortion,lsd_db,0.06272506102752184,0.040768034320998466,0.08398943889136784,True
test-clean,condition_pearson,bandwidth_loss_hz,lsd_db,0.0584381594266975,0.012508770675483654,0.09765098484755573,True
test-clean,condition_pearson,hf_power_loss_db,lsd_db,0.1082104954136287,0.012058275617523753,0.18912456408726316,True
test-clean,condition_pearson,sdrift_conv,lsd_db,0.18207218204231634,0.13546061711834745,0.2223223548655422,True
test-clean,condition_pearson,sdrift_layer_1,lsd_db,0.17982825346263842,0.14261268170920763,0.21385615725435497,True
test-clean,condition_pearson,sdrift_layer_2,lsd_db,0.18451197434898026,0.1463433923100434,0.2191768791243118,True
test-clean,condition_pearson,sdrift_layer_3,lsd_db,0.18753166474098115,0.14813672035845907,0.2236633979082296,True
test-clean,condition_pearson,sdrift_layer_4,lsd_db,0.1928467752190165,0.1502903134262688,0.23193289023538077,True
test-clean,condition_pearson,sdrift_layer_5,lsd_db,0.19429650943355048,0.15083267172653608,0.2342904086070947,True
test-clean,condition_pearson,sdrift_layer_6,lsd_db,0.19141985146779483,0.14836789802579806,0.23106423704933993,True
test-clean,condition_pearson,sdrift_layer_7,lsd_db,0.1873920050300919,0.1453005231754999,0.22572686332955194,True
test-clean,condition_pearson,sdrift_layer_8,lsd_db,0.18561119531265935,0.14260387799269947,0.2248160162657218,True
test-clean,condition_pearson,sdrift_layer_9,lsd_db,0.18317995608597437,0.1396786702306946,0.2227340715715043,True
test-clean,condition_pearson,sdrift_layer_10,lsd_db,0.1954070247686709,0.1454080008174047,0.24067301194489124,True
test-clean,condition_pearson,sdrift_layer_11,lsd_db,0.2154203135327214,0.16512175694040937,0.26319339659698054,True
test-clean,condition_pearson,sdrift_layer_12,lsd_db,0.2092280132454154,0.16290103857867913,0.25290390454101186,True
test-clean,utterance_pooled_spearman,spectral_distortion,lsd_db,0.00022242455325460764,-0.003360129823661729,0.0033201251889083943,False
test-clean,utterance_pooled_spearman,bandwidth_loss_hz,lsd_db,0.013464445849271561,-0.008851426099652133,0.031452834080942425,False
test-clean,utterance_pooled_spearman,hf_power_loss_db,lsd_db,0.008689233670597762,-0.014796137685880227,0.03120610598488234,False
test-clean,utterance_pooled_spearman,sdrift_conv,lsd_db,0.03411048086888824,0.018697587228529464,0.048096976324434555,True
test-clean,utterance_pooled_spearman,sdrift_layer_1,lsd_db,0.03528477367138888,0.019592675728331777,0.04869836529290375,True
test-clean,utterance_pooled_spearman,sdrift_layer_2,lsd_db,0.03500623787432394,0.018761951909922782,0.04916739418182353,True
test-clean,utterance_pooled_spearman,sdrift_layer_3,lsd_db,0.0356858909883212,0.018883993692298533,0.050225217127112545,True
test-clean,utterance_pooled_spearman,sdrift_layer_4,lsd_db,0.03594433806937794,0.018463304298107403,0.051334234675703735,True
test-clean,utterance_pooled_spearman,sdrift_layer_5,lsd_db,0.03656106757172334,0.016665364536022076,0.0540939021808754,True
test-clean,utterance_pooled_spearman,sdrift_layer_6,lsd_db,0.03624774549689011,0.014429342988724512,0.05551677332434006,True
test-clean,utterance_pooled_spearman,sdrift_layer_7,lsd_db,0.036344405981679345,0.013691548668218008,0.057278321847686484,True
test-clean,utterance_pooled_spearman,sdrift_layer_8,lsd_db,0.035871383642459814,0.012211112536552049,0.05791959395141539,True
test-clean,utterance_pooled_spearman,sdrift_layer_9,lsd_db,0.037820116321048675,0.013165629279316275,0.060956833508983004,True
test-clean,utterance_pooled_spearman,sdrift_layer_10,lsd_db,0.039437397121424744,0.012849415118520498,0.06381252151816173,True
test-clean,utterance_pooled_spearman,sdrift_layer_11,lsd_db,0.053809959899801335,0.03401629158142488,0.07112794976718519,True
test-clean,utterance_pooled_spearman,sdrift_layer_12,lsd_db,0.05697132954482781,0.039074254680471425,0.07273783743238942,True
test-clean,within_condition_mean_spearman,spectral_distortion,lsd_db,0.0022223691088617686,-0.005118070879671658,0.00815100915808068,False
test-clean,within_condition_mean_spearman,bandwidth_loss_hz,lsd_db,0.01101702891210569,-0.04840308832965537,0.06563005410194533,False
test-clean,within_condition_mean_spearman,hf_power_loss_db,lsd_db,0.04293826776248054,-0.006257986844792333,0.08626887803700159,False
test-clean,within_condition_mean_spearman,sdrift_conv,lsd_db,0.028557888372971678,-0.021422118370694233,0.0707206384369154,False
test-clean,within_condition_mean_spearman,sdrift_layer_1,lsd_db,0.03694430224996517,-0.01030793562210612,0.07793187223148933,False
test-clean,within_condition_mean_spearman,sdrift_layer_2,lsd_db,0.0387891629572788,-0.01418726348197487,0.08476903848667641,False
test-clean,within_condition_mean_spearman,sdrift_layer_3,lsd_db,0.04260899597360832,-0.013232272692427521,0.09088852152449224,False
test-clean,within_condition_mean_spearman,sdrift_layer_4,lsd_db,0.04395107436715414,-0.018797779971491412,0.0998046042756351,False
test-clean,within_condition_mean_spearman,sdrift_layer_5,lsd_db,0.04806718307968766,-0.02089237939239992,0.1107994198148511,False
test-clean,within_condition_mean_spearman,sdrift_layer_6,lsd_db,0.05178977228839338,-0.0212929139437088,0.11865583498891268,False
test-clean,within_condition_mean_spearman,sdrift_layer_7,lsd_db,0.055736188691550864,-0.01726798421190664,0.12475900837958141,False
test-clean,within_condition_mean_spearman,sdrift_layer_8,lsd_db,0.05756174463648625,-0.016802973589437553,0.1314568786239226,False
test-clean,within_condition_mean_spearman,sdrift_layer_9,lsd_db,0.06444485015635419,-0.010227316792600999,0.13748320141760523,False
test-clean,within_condition_mean_spearman,sdrift_layer_10,lsd_db,0.07093765725456978,-0.003691040017095349,0.1418376160793912,False
test-clean,within_condition_mean_spearman,sdrift_layer_11,lsd_db,0.0971568516694532,0.03953494181771349,0.14857471414504672,True
test-clean,within_condition_mean_spearman,sdrift_layer_12,lsd_db,0.10756265937901299,0.0593461257105763,0.15216878722711336,True
test-other,condition_pearson,spectral_distortion,lsd_db,0.05391500054070386,0.04573926823449343,0.062014572666333076,True
test-other,condition_pearson,bandwidth_loss_hz,lsd_db,0.06148189652485181,0.04822452599510676,0.07553500436742225,True
test-other,condition_pearson,hf_power_loss_db,lsd_db,0.12049733268802065,0.09107086527706278,0.14589986670231775,True
