dataset,codec,bitrate,predictor,spearman
test-clean,mp3,128k,lsd_db,-0.008625179873478763
test-clean,mp3,128k,spectral_distortion,-0.00445328948808877
test-clean,mp3,128k,bandwidth_loss_hz,0.015284850679392871
test-clean,mp3,128k,hf_power_loss_db,-0.048329508717382265
test-clean,mp3,128k,sdrift_conv,-0.04921055729628374
test-clean,mp3,128k,sdrift_layer_1,-0.042852896756777226
test-clean,mp3,128k,sdrift_layer_2,-0.03877360195075262
test-clean,mp3,128k,sdrift_layer_3,-0.03975470970463037
test-clean,mp3,128k,sdrift_layer_4,-0.030743872376865277
test-clean,mp3,128k,sdrift_layer_5,-0.01159567246174007
test-clean,mp3,128k,sdrift_layer_6,-0.0013378410717614468
test-clean,mp3,128k,sdrift_layer_7,-0.0005046058747713696
test-clean,mp3,128k,sdrift_layer_8,-0.011008850945468046
test-clean,mp3,128k,sdrift_layer_9,-0.01577362783770906
test-clean,mp3,128k,sdrift_layer_10,-0.014631004422298139
test-clean,mp3,128k,sdrift_layer_11,-0.027692099352667057
test-clean,mp3,128k,sdrift_layer_12,-0.012723601258517295
test-clean,mp3,64k,lsd_db,0.004483271146793304
test-clean,mp3,64k,spectral_distortion,0.011524074695579686
test-clean,mp3,64k,bandwidth_loss_hz,0.0130688805417102
test-clean,mp3,64k,hf_power_loss_db,-0.0001965555824170666
test-clean,mp3,64k,sdrift_conv,0.052589288776113664
test-clean,mp3,64k,sdrift_layer_1,0.04926626626147927
test-clean,mp3,64k,sdrift_layer_2,0.05465532227971712
test-clean,mp3,64k,sdrift_layer_3,0.06691920139794388
test-clean,mp3,64k,sdrift_layer_4,0.07108019618408694
test-clean,mp3,64k,sdrift_layer_5,0.06531860193933045
test-clean,mp3,64k,sdrift_layer_6,0.061727472217379835
test-clean,mp3,64k,sdrift_layer_7,0.07243892825816149
test-clean,mp3,64k,sdrift_layer_8,0.06322462891668518
test-clean,mp3,64k,sdrift_layer_9,0.05547663205539295
test-clean,mp3,64k,sdrift_layer_10,0.05275433167398451
test-clean,mp3,64k,sdrift_layer_11,0.018959859727082022
test-clean,mp3,64k,sdrift_layer_12,-0.023542674247315883
test-clean,mp3,32k,lsd_db,-0.03346137235178423
test-clean,mp3,32k,spectral_distortion,-0.030189416801846572
test-clean,mp3,32k,bandwidth_loss_hz,-0.061716062637802535
test-clean,mp3,32k,hf_power_loss_db,0.024337339332933652
test-clean,mp3,32k,sdrift_conv,-0.012410281072056696
test-clean,mp3,32k,sdrift_layer_1,-0.007910742695894141
test-clean,mp3,32k,sdrift_layer_2,-0.0032065583410407147
test-clean,mp3,32k,sdrift_layer_3,-0.005225566221665665
test-clean,mp3,32k,sdrift_layer_4,-0.012826831965617293
test-clean,mp3,32k,sdrift_layer_5,-0.02473533447495063
test-clean,mp3,32k,sdrift_layer_6,-0.007269939838922266
test-clean,mp3,32k,sdrift_layer_7,0.001807776392391461
test-clean,mp3,32k,sdrift_layer_8,-0.002968913563630314
test-clean,mp3,32k,sdrift_layer_9,0.006803554644022141
test-clean,mp3,32k,sdrift_layer_10,-8.2158049621102e-05
test-clean,mp3,32k,sdrift_layer_11,0.0197569537155442
test-clean,mp3,32k,sdrift_layer_12,0.02721945633894057
test-clean,mp3,24k,lsd_db,-0.006726130184053559
test-clean,mp3,24k,spectral_distortion,-0.005140419258213515
test-clean,mp3,24k,bandwidth_loss_hz,-0.051166578567246886
test-clean,mp3,24k,hf_power_loss_db,0.023660548229260045
test-clean,mp3,24k,sdrift_conv,-0.0075258984924289445
test-clean,mp3,24k,sdrift_layer_1,-0.006391644285634175
test-clean,mp3,24k,sdrift_layer_2,-0.02088069558629431
test-clean,mp3,24k,sdrift_layer_3,-0.03281637248083759
test-clean,mp3,24k,sdrift_layer_4,-0.03372750081958384
test-clean,mp3,24k,sdrift_layer_5,-0.03613707072794487
test-clean,mp3,24k,sdrift_layer_6,-0.04274061768219096
test-clean,mp3,24k,sdrift_layer_7,-0.048748839769079774
test-clean,mp3,24k,sdrift_layer_8,-0.04773963160663438
test-clean,mp3,24k,sdrift_layer_9,-0.03652405406199718
test-clean,mp3,24k,sdrift_layer_10,-0.014993414240566558
test-clean,mp3,24k,sdrift_layer_11,0.00578783146833031
test-clean,mp3,24k,sdrift_layer_12,0.0223825621293889
test-clean,mp3,16k,lsd_db,-0.02001505497922881
test-clean,mp3,16k,spectral_distortion,-0.02041050052314668
test-clean,mp3,16k,bandwidth_loss_hz,0.0005825205625510439
test-clean,mp3,16k,hf_power_loss_db,0.05921291487669567
test-clean,mp3,16k,sdrift_conv,0.045549241941869975
test-clean,mp3,16k,sdrift_layer_1,0.03367805671538177
test-clean,mp3,16k,sdrift_layer_2,0.009690645667228805
test-clean,mp3,16k,sdrift_layer_3,0.006686652581064667
test-clean,mp3,16k,sdrift_layer_4,0.0065193226901979805
