dataset,dataset_index,speaker_id,chapter_id,utterance_id,codec,bitrate,drift_conv,sdrift_conv,drift_layer_1,sdrift_layer_1,drift_layer_2,sdrift_layer_2,drift_layer_3,sdrift_layer_3,drift_layer_4,sdrift_layer_4,drift_layer_5,sdrift_layer_5,drift_layer_6,sdrift_layer_6,drift_layer_7,sdrift_layer_7,drift_layer_8,sdrift_layer_8,drift_layer_9,sdrift_layer_9,drift_layer_10,sdrift_layer_10,drift_layer_11,sdrift_layer_11,drift_layer_12,sdrift_layer_12
test-clean,1548,5142,36377,17,mp3,128k,0.00115424,0.0012188,0.000699162,0.000929356,0.000605404,0.000863731,0.000579357,0.000885725,0.000556469,0.000823736,0.00224972,0.00346428,0.00414813,0.00571442,0.00437558,0.00533795,0.00528759,0.00561464,0.00453979,0.00604093,0.00334805,0.00658655,8.35061e-05,0.00584733,0.000700951,0.00260383
test-clean,1548,5142,36377,17,mp3,64k,0.00586355,0.00616831,0.00372756,0.0053286,0.00319529,0.00472832,0.00286895,0.00450504,0.00245583,0.00360441,0.0064221,0.00887364,0.00678736,0.00899643,0.00656152,0.00780261,0.00715935,0.00728667,0.00533688,0.00601906,0.00331038,0.00529283,6.67572e-05,0.00455391,0.00061661,0.00241697
test-clean,1548,5142,36377,17,mp3,32k,0.0554456,0.0585349,0.0413882,0.0592119,0.0374639,0.0562125,0.0344626,0.0539303,0.0267987,0.0391455,0.0202807,0.0267808,0.0180309,0.0239729,0.0153013,0.0198129,0.0134678,0.0159869,0.0100604,0.0131188,0.00653493,0.0113615,0.000486434,0.0137262,0.0070532,0.0155633
test-clean,1548,5142,36377,17,mp3,24k,0.0904907,0.0953121,0.070877,0.101455,0.0659444,0.0991842,0.059532,0.0937579,0.0463529,0.0691107,0.0329797,0.0440541,0.0255957,0.0341313,0.021502,0.0280323,0.019627,0.0240273,0.0171608,0.0229228,0.0124052,0.0221797,0.000939667,0.0236149,0.00960314,0.022818
test-clean,1548,5142,36377,17,mp3,16k,0.169922,0.176701,0.142191,0.199763,0.135194,0.203696,0.120586,0.190586,0.0957962,0.146553,0.0705399,0.0954795,0.0544345,0.0727524,0.0436233,0.0569334,0.0375273,0.0476253,0.0311437,0.0418118,0.021499,0.0350941,0.00310558,0.0392333,0.02132,0.0454203
test-clean,1548,5142,36377,17,opus,64k,0.0171598,0.0161868,0.0100285,0.0128154,0.00655729,0.00838304,0.00496298,0.0067054,0.00553697,0.00724417,0.00676131,0.00895083,0.00705558,0.0099467,0.00785106,0.0102327,0.00894493,0.0101313,0.00719506,0.00930023,0.00413907,0.00772941,0.000149786,0.00732881,0.00117338,0.00418931
test-clean,1548,5142,36377,17,opus,32k,0.0352162,0.0351421,0.0190703,0.0257031,0.0147572,0.0203059,0.0146216,0.0204054,0.0164901,0.0209793,0.0167422,0.0209275,0.0175923,0.023174,0.0171201,0.0207317,0.0189671,0.0206146,0.0175475,0.0204829,0.0119138,0.0221635,0.000453591,0.0211285,0.00424558,0.0136541
test-clean,1548,5142,36377,17,opus,16k,0.0789635,0.0812926,0.0486595,0.0691634,0.0401482,0.0597223,0.0354844,0.0534348,0.0307912,0.0424303,0.0256367,0.0332945,0.0231554,0.0303068,0.0228564,0.0287825,0.0239655,0.0269336,0.0204204,0.025416,0.0145202,0.0253537,0.000933647,0.0246515,0.00722533,0.0194919
test-clean,1548,5142,36377,17,opus,12k,0.108561,0.113221,0.0723672,0.104908,0.0626818,0.096408,0.0550524,0.0873545,0.0437459,0.0657705,0.0312572,0.0425355,0.0254834,0.0351149,0.0228917,0.0308514,0.0228985,0.0283149,0.0213379,0.0288873,0.0165098,0.0285347,0.00199205,0.0307209,0.0123453,0.0291691
test-clean,1548,5142,36377,17,opus,8k,0.256379,0.268691,0.186503,0.253973,0.193775,0.289977,0.171395,0.269018,0.140908,0.207839,0.106031,0.144177,0.0795995,0.108047,0.0630537,0.0824232,0.0529062,0.0646377,0.04259,0.0550323,0.0303964,0.0502786,0.00318176,0.0612066,0.0318437,0.0677235
test-clean,1548,5142,36377,17,opus,6k,0.322817,0.338342,0.246321,0.335038,0.262102,0.390485,0.239212,0.377771,0.195038,0.293981,0.153512,0.21162,0.122562,0.168733,0.101907,0.136189,0.0877166,0.113958,0.0734855,0.0955039,0.0587123,0.0872004,0.020039,0.108283,0.0779421,0.144134
test-clean,1092,4077,13751,18,mp3,128k,0.0103162,0.0111496,0.00705183,0.00959265,0.00606084,0.00850731,0.00514144,0.00716472,0.00450844,0.00626552,0.00425571,0.00540233,0.00359291,0.00496018,0.00378925,0.0056476,0.0037747,0.00517017,0.00315475,0.00490487,0.0017392,0.00360507,6.83069e-05,0.00261807,0.0014869,0.00357699
test-clean,1092,4077,13751,18,mp3,64k,0.019807,0.0211134,0.0136574,0.018797,0.0116967,0.0167274,0.00983804,0.0142946,0.00778377,0.0111144,0.00632972,0.00816882,0.00544208,0.00729662,0.00526613,0.00771374,0.0049957,0.00705576,0.00394028,0.00630724,0.00210744,0.00434476,0.000111043,0.00353819,0.00219363,0.00538117
test-clean,1092,4077,13751,18,mp3,32k,0.0914335,0.0964288,0.0717125,0.0989231,0.0647588,0.0953984,0.0575047,0.0852923,0.0432686,0.0620646,0.0339035,0.0459624,0.0301577,0.0394526,0.0299457,0.0405865,0.0275605,0.0359792,0.0211801,0.0304844,0.0123662,0.024152,0.000689507,0.0197836,0.0112303,0.0248933
test-clean,1092,4077,13751,18,mp3,24k,0.173312,0.180974,0.139334,0.193304,0.132485,0.194038,0.1153,0.168606,0.0888811,0.126492,0.0725903,0.0965704,0.0654002,0.084542,0.0662293,0.0891802,0.0598833,0.0777304,0.0453122,0.0653837,0.0257092,0.0494247,0.00159955,0.0393975,0.0203758,0.0463476
test-clean,1092,4077,13751,18,mp3,16k,0.258087,0.265902,0.221387,0.301107,0.213624,0.308304,0.189448,0.277636,0.14687,0.21162,0.118086,0.159634,0.101259,0.13294,0.095376,0.128636,0.0840505,0.108184,0.0649241,0.0937047,0.037461,0.0710058,0.00248331,0.0612727,0.0306124,0.0674592
test-clean,1092,4077,13751,18,opus,64k,0.0114567,0.0125046,0.00773197,0.0114346,0.00691706,0.0100756,0.00728148,0.0100607,0.00889653,0.011597,0.0112413,0.0139578,0.0109915,0.013407,0.0120453,0.0149019,0.0130508,0.015058,0.0102935,0.0143216,0.00592095,0.0129569,6.68168e-05,0.00547117,0.00105983,0.00309879
test-clean,1092,4077,13751,18,opus,32k,0.0400565,0.0432333,0.0261678,0.0365869,0.0229555,0.0329589,0.0207289,0.029035,0.0196562,0.0265826,0.0198255,0.0244157,0.0172157,0.0216546,0.0170615,0.0221989,0.0173153,0.021349,0.0137771,0.0197984,0.00752401,0.0159319,0.000243366,0.00912112,0.00354099,0.00919485
test-clean,1092,4077,13751,18,opus,16k,0.0969,0.103921,0.0683026,0.0957549,0.0591914,0.0871593,0.0517981,0.0748391,0.0425329,0.0589202,0.0358315,0.045777,0.0299475,0.0379855,0.0277455,0.0355152,0.0259157,0.031516,0.0199888,0.0277942,0.0111127,0.0225966,0.000442088,0.0160587,0.00769293,0.0159656
test-clean,1092,4077,13751,18,opus,12k,0.140281,0.149935,0.104656,0.14612,0.0926956,0.137597,0.0829408,0.121262,0.0690209,0.0974962,0.0581924,0.0763415,0.051643,0.0641745,0.0478876,0.0593934,0.0447599,0.0524731,0.0342244,0.0464727,0.0202577,0.0407288,0.0008533,0.027522,0.0147793,0.0304857
test-clean,1092,4077,13751,18,opus,8k,0.329574,0.342987,0.245469,0.324892,0.237815,0.335011,0.212017,0.309171,0.171353,0.242646,0.137463,0.180816,0.12316,0.157657,0.111971,0.142743,0.100867,0.123033,0.0787925,0.109997,0.0479968,0.09009,0.00301731,0.0786422,0.0399763,0.0837626
test-clean,1092,4077,13751,18,opus,6k,0.396597,0.413147,0.305876,0.404638,0.298219,0.422318,0.271671,0.395404,0.223932,0.315503,0.179882,0.238385,0.156063,0.201427,0.138472,0.177614,0.122979,0.151779,0.095353,0.1319,0.0600468,0.109979,0.00477862,0.101026,0.0509771,0.105597
test-clean,882,2961,960,8,mp3,128k,0.012052,0.0127949,0.0098843,0.0134557,0.00890136,0.0133655,0.00748426,0.0113804,0.00608897,0.00910777,0.00626403,0.00855017,0.00935721,0.0110852,0.0102125,0.0117245,0.010683,0.0116184,0.0079605,0.0106405,0.005252,0.0107785,6.59227e-05,0.00482583,0.00101453,0.00271749
test-clean,882,2961,960,8,mp3,64k,0.0151135,0.0160985,0.0123269,0.0167912,0.0110483,0.0165758,0.00956589,0.0146179,0.00806904,0.012078,0.00862831,0.0108168,0.00841492,0.00973308,0.00821716,0.00932914,0.0080694,0.00888473,0.00592566,0.00789022,0.00382781,0.00767589,6.96778e-05,0.00405282,0.00143796,0.00351411
test-clean,882,2961,960,8,mp3,32k,0.0517849,0.055185,0.0436711,0.0598885,0.0401773,0.0611019,0.0366341,0.0563611,0.0305483,0.0457374,0.0278923,0.0365623,0.0248445,0.0305336,0.0228305,0.028021,0.0216464,0.0257694,0.0151987,0.0206852,0.00946701,0.0184324,0.000325978,0.0151087,0.00793356,0.0246468
test-clean,882,2961,960,8,mp3,24k,0.12708,0.131299,0.112532,0.153244,0.109285,0.166962,0.0949522,0.144223,0.0717207,0.106185,0.0559118,0.0770407,0.0472815,0.0604706,0.0422472,0.0543637,0.0378466,0.0470635,0.0276119,0.0385432,0.017435,0.0329012,0.000707388,0.0315968,0.0152233,0.0395217
test-clean,882,2961,960,8,mp3,16k,0.221334,0.22674,0.197667,0.259242,0.196038,0.286409,0.175397,0.262534,0.142092,0.208284,0.114542,0.155405,0.0927974,0.11965,0.0792639,0.103611,0.0672761,0.0851354,0.0476387,0.0657888,0.0295664,0.052931,0.00138944,0.0561071,0.0257689,0.0635049
test-clean,882,2961,960,8,opus,64k,0.00615901,0.00662369,0.00444031,0.0060842,0.00380307,0.00568187,0.00349087,0.00525457,0.00324988,0.00485444,0.00369692,0.00447518,0.00347942,0.0044623,0.00408542,0.00522745,0.0043636,0.00533009,0.00325888,0.00477606,0.00194049,0.0041191,3.54052e-05,0.00250202,0.00113887,0.00260377
test-clean,882,2961,960,8,opus,32k,0.043669,0.0470628,0.0310863,0.0421268,0.0283404,0.0416495,0.0255414,0.0381998,0.0228385,0.0330591,0.0209351,0.0267859,0.0216038,0.0263565,0.0219121,0.0268447,0.0216498,0.0259792,0.0157373,0.0220226,0.00947809,0.019282,0.000191152,0.0121863,0.00404245,0.00955856
test-clean,882,2961,960,8,opus,16k,0.094206,0.101558,0.0723428,0.0995426,0.0651243,0.0975866,0.0584649,0.0874614,0.051618,0.0733662,0.0470181,0.0603148,0.0452662,0.0554041,0.0440961,0.0542503,0.0430833,0.0506793,0.0313828,0.0428441,0.0201155,0.0392412,0.000724673,0.0288919,0.0090993,0.0214061
test-clean,882,2961,960,8,opus,12k,0.139212,0.14941,0.115989,0.159484,0.10748,0.162314,0.0964663,0.146807,0.0781728,0.115312,0.0651217,0.0880587,0.0598384,0.0773253,0.055028,0.0716596,0.0503273,0.062461,0.0361401,0.0496606,0.0232173,0.0425321,0.00115091,0.0417569,0.015736,0.0425861
test-clean,882,2961,960,8,opus,8k,0.384215,0.395759,0.323642,0.410546,0.329958,0.456388,0.305344,0.445607,0.259559,0.375004,0.209165,0.284633,0.179872,0.234416,0.153905,0.199418,0.130939,0.164768,0.0949445,0.130245,0.0617064,0.109022,0.00327605,0.116069,0.0551186,0.121804
test-clean,882,2961,960,8,opus,6k,0.472574,0.48885,0.41823,0.531569,0.418416,0.582547,0.392378,0.569294,0.340712,0.493841,0.285166,0.386965,0.248551,0.323697,0.219934,0.282803,0.193106,0.240068,0.143779,0.194753,0.106154,0.178719,0.00695539,0.195525,0.0987192,0.195203
test-clean,1107,4077,13754,11,mp3,128k,0.00611252,0.00654632,0.00430256,0.00585973,0.00361395,0.00521374,0.00303429,0.00429553,0.00253141,0.00347841,0.00264871,0.00370723,0.0068419,0.00918019,0.0085305,0.0107281,0.0100061,0.0111884,0.00801754,0.0109247,0.00536072,0.0113228,8.07643e-05,0.0049963,0.00123453,0.00343424
test-clean,1107,4077,13754,11,mp3,64k,0.0158399,0.01671,0.0113392,0.0158287,0.00955588,0.0143144,0.00797737,0.0118918,0.00597149,0.00858063,0.00465119,0.00658756,0.00804991,0.0107378,0.00955451,0.0122318,0.0106351,0.0122168,0.00803047,0.0110644,0.00507033,0.0103466,0.00019747,0.00633091,0.0063467,0.0117053
test-clean,1107,4077,13754,11,mp3,32k,0.0915478,0.096473,0.0723115,0.101101,0.0654892,0.0989272,0.0598225,0.090542,0.0456942,0.0655516,0.0327066,0.0447505,0.0282811,0.0380322,0.0264679,0.0372474,0.0231186,0.030391,0.0176495,0.026132,0.0100192,0.0197101,0.000570059,0.017213,0.0107053,0.0221176
test-clean,1107,4077,13754,11,mp3,24k,0.154046,0.161375,0.123857,0.173241,0.115794,0.174436,0.101792,0.152856,0.077237,0.111554,0.0571625,0.0767516,0.0478526,0.0640278,0.0439025,0.0617418,0.0361996,0.0481775,0.0269403,0.0391086,0.0150296,0.0279311,0.000930071,0.026782,0.0170246,0.0433121
test-clean,1107,4077,13754,11,mp3,16k,0.246806,0.256405,0.215529,0.294042,0.20953,0.310782,0.188458,0.284767,0.144158,0.209086,0.110424,0.150702,0.0968087,0.129234,0.0879184,0.121534,0.0735763,0.096683,0.0529979,0.074751,0.031925,0.058204,0.0021047,0.0564045,0.0287449,0.058211
test-clean,1107,4077,13754,11,opus,64k,0.00793129,0.00859135,0.0051778,0.00755537,0.00425017,0.00634146,0.00391418,0.00566125,0.0040437,0.00580156,0.00680602,0.00869596,0.010129,0.0117404,0.0116109,0.0132409,0.013113,0.0135774,0.010441,0.0137127,0.00699645,0.0147834,6.60419e-05,0.00569552,0.00150204,0.00392205
test-clean,1107,4077,13754,11,opus,32k,0.0371884,0.0399382,0.0242765,0.033914,0.0207205,0.03056,0.0178839,0.0260841,0.0154108,0.0216355,0.0174555,0.022337,0.0171825,0.0211793,0.0170872,0.0212721,0.0172377,0.0197234,0.0135332,0.0186415,0.0083499,0.0172428,0.000164628,0.00966871,0.00412756,0.0124454
test-clean,1107,4077,13754,11,opus,16k,0.100009,0.107076,0.0704358,0.0993096,0.0622877,0.0939926,0.0542753,0.0809759,0.0439838,0.0623065,0.0386176,0.049786,0.0369968,0.0458043,0.0352428,0.0435478,0.0338877,0.0384441,0.0262979,0.0351213,0.0165799,0.0328133,0.000660002,0.0228086,0.0159019,0.0323583
test-clean,1107,4077,13754,11,opus,12k,0.147223,0.157218,0.108353,0.152591,0.0971702,0.147618,0.0859348,0.129134,0.0677011,0.0959116,0.0556025,0.0732431,0.0504106,0.0629483,0.0476187,0.0597943,0.046294,0.0538799,0.035977,0.0491118,0.0228658,0.045457,0.00104702,0.0312122,0.019913,0.0454535
test-clean,1107,4077,13754,11,opus,8k,0.313487,0.330444,0.231691,0.313253,0.233175,0.342452,0.209897,0.321345,0.163795,0.242479,0.121742,0.168316,0.105045,0.141688,0.0942834,0.129634,0.0784934,0.10083,0.0562525,0.0791027,0.0331047,0.0615028,0.00168502,0.0521322,0.0315007,0.0688611
test-clean,1107,4077,13754,11,opus,6k,0.38222,0.40353,0.295933,0.397783,0.297335,0.435233,0.275262,0.418117,0.219188,0.321505,0.169336,0.231465,0.143631,0.192347,0.126738,0.171295,0.105284,0.13746,0.0763022,0.106993,0.0491425,0.0842291,0.00397325,0.0871803,0.0554253,0.108772
