dataset,codec,bitrate,layer,cosine_mean,cosine_median,cosine_std,drift_mean,drift_median,drift_std,sdrift_mean,sdrift_median,sdrift_std
test-clean,mp3,128k,conv,0.9902172107696533,0.9903708696365356,0.0039321177833143055,0.00978278923034668,0.009629130363464355,0.003932117783314299,0.010485570192337037,0.010378509759902954,0.004263828765468469
test-clean,mp3,64k,conv,0.9837448672056198,0.983785480260849,0.004559196475088394,0.01625513279438019,0.016214519739151,0.004559196475088392,0.01728165137767792,0.017320483922958374,0.0048794425852390355
test-clean,mp3,32k,conv,0.928704829454422,0.9301265478134155,0.014103406717165588,0.071295170545578,0.06987345218658447,0.014103406717165588,0.07515604341030122,0.07352998852729797,0.01473172468296838
test-clean,mp3,24k,conv,0.86131860268116,0.8598579168319702,0.022056096161995605,0.13868139731884002,0.14014208316802979,0.022056096161995598,0.14445136559009553,0.14576038718223572,0.022765424899439814
test-clean,mp3,16k,conv,0.7788951106071472,0.77867591381073,0.03000763956616766,0.22110488939285278,0.22132408618927002,0.030007639566167657,0.2279918279647827,0.22822153568267822,0.030663127272705665
test-clean,opus,64k,conv,0.9934120613336563,0.9940435290336609,0.0029463494290226542,0.006587938666343689,0.005956470966339111,0.0029463494290226633,0.007122164249420166,0.0064029693603515625,0.0032277062005017956
test-clean,opus,32k,conv,0.9618547660112381,0.9635492861270905,0.008551817030005857,0.0381452339887619,0.036450713872909546,0.008551817030005853,0.040774592399597166,0.03904014825820923,0.00891488183334701
test-clean,opus,16k,conv,0.9109044080972671,0.9121624827384949,0.012779077011256107,0.08909559190273285,0.08783751726150513,0.012779077011256116,0.09509599125385285,0.09347045421600342,0.01330420872018744
test-clean,opus,12k,conv,0.8698360769748688,0.8703433573246002,0.01594396741042134,0.13016392302513122,0.12965664267539978,0.015943967410421336,0.13841369259357453,0.13770419359207153,0.01646028234107051
test-clean,opus,8k,conv,0.6774114142656327,0.6802352368831635,0.037115550656048296,0.3225885857343674,0.31976476311683655,0.03711555065604825,0.33457168471813203,0.33115559816360474,0.03742499862401354
test-clean,opus,6k,conv,0.6078434676527977,0.6119531095027924,0.03563879663968437,0.3921565323472023,0.38804689049720764,0.03563879663968439,0.40776912385225295,0.4033849239349365,0.03605435257813041
