dataset,dataset_index,speaker_id,chapter_id,utterance_id,codec,bitrate,spectral_distortion,lsd_db,retained_bandwidth_hz,hf_power_change_db,estimated_delay_samples,estimated_delay_ms
test-clean,1548,5142,36377,17,mp3,128k,0.7361817955970764,0.7935669422149658,7281.25,-0.4447963498475311,0,0.0
test-clean,1548,5142,36377,17,mp3,64k,5.750599384307861,2.140219211578369,7281.25,-0.42940461917122685,0,0.0
test-clean,1548,5142,36377,17,mp3,32k,32.816402435302734,5.257261276245117,7093.75,-0.17417039970239137,0,0.0
test-clean,1548,5142,36377,17,mp3,24k,72.8183364868164,7.7405500411987305,5812.5,-0.2619907211709841,0,0.0
test-clean,1548,5142,36377,17,mp3,16k,151.76840209960938,11.290114402770996,5562.5,-0.8980918492106655,0,0.0
test-clean,1548,5142,36377,17,opus,64k,3.06719970703125,1.6219024658203125,8000.0,0.033879707290011864,0,0.0
test-clean,1548,5142,36377,17,opus,32k,12.217453956604004,3.37070894241333,8000.0,-1.165278653526561,0,0.0
test-clean,1548,5142,36377,17,opus,16k,27.56333351135254,5.075448513031006,8000.0,-1.5311689422415808,0,0.0
test-clean,1548,5142,36377,17,opus,12k,35.041709899902344,5.729257106781006,8000.0,-1.1399474772574378,0,0.0
test-clean,1548,5142,36377,17,opus,8k,184.21658325195312,12.512701988220215,4593.75,-13.699611039908486,2,0.125
test-clean,1548,5142,36377,17,opus,6k,185.81207275390625,12.63395881652832,4593.75,-13.106745076677186,2,0.125
test-clean,1092,4077,13751,18,mp3,128k,18.936555862426758,3.2511701583862305,7281.25,-0.829296240270692,0,0.0
test-clean,1092,4077,13751,18,mp3,64k,22.352922439575195,3.754356861114502,7281.25,-0.8094921122952585,0,0.0
test-clean,1092,4077,13751,18,mp3,32k,45.228816986083984,5.811830997467041,7281.25,-0.5762897345004382,0,0.0
test-clean,1092,4077,13751,18,mp3,24k,98.8268814086914,8.416483879089355,5812.5,-1.8099302020608756,0,0.0
test-clean,1092,4077,13751,18,mp3,16k,141.93109130859375,10.18029499053955,5562.5,-2.830916108757695,0,0.0
test-clean,1092,4077,13751,18,opus,64k,3.609112501144409,1.8126777410507202,8000.0,-0.36406299227142674,0,0.0
test-clean,1092,4077,13751,18,opus,32k,17.150104522705078,3.897127389907837,8000.0,-3.246587661845419,0,0.0
test-clean,1092,4077,13751,18,opus,16k,30.095298767089844,5.198054790496826,8000.0,-2.9424718769309472,0,0.0
test-clean,1092,4077,13751,18,opus,12k,34.83087921142578,5.617676734924316,8000.0,-1.237424024299224,0,0.0
test-clean,1092,4077,13751,18,opus,8k,137.435791015625,10.009709358215332,4625.0,-16.18253960856803,2,0.125
test-clean,1092,4077,13751,18,opus,6k,139.69090270996094,10.210302352905273,4656.25,-13.66258961381033,2,0.125
test-clean,882,2961,960,8,mp3,128k,13.172707557678223,2.704503059387207,7281.25,-0.6580885916185751,0,0.0
test-clean,882,2961,960,8,mp3,64k,15.556507110595703,3.1804840564727783,7281.25,-0.6296817262336294,0,0.0
test-clean,882,2961,960,8,mp3,32k,30.38018798828125,4.982059478759766,7281.25,-0.40337673911862604,0,0.0
test-clean,882,2961,960,8,mp3,24k,64.3287582397461,6.994690895080566,5812.5,-0.9908239708086697,0,0.0
test-clean,882,2961,960,8,mp3,16k,108.61040496826172,9.378957748413086,5562.5,-1.7779341842633167,0,0.0
test-clean,882,2961,960,8,opus,64k,2.8559415340423584,1.6114965677261353,8000.0,-0.18956670698868194,0,0.0
test-clean,882,2961,960,8,opus,32k,17.279911041259766,3.950005531311035,8000.0,-2.2496111312162492,0,0.0
test-clean,882,2961,960,8,opus,16k,30.6743221282959,5.392881870269775,8000.0,-2.4111243981861294,0,0.0
test-clean,882,2961,960,8,opus,12k,35.9370231628418,5.879751205444336,8000.0,-1.6659854556982179,0,0.0
test-clean,882,2961,960,8,opus,8k,121.8320541381836,9.97439193725586,4656.25,-15.58093980823233,2,0.125
test-clean,882,2961,960,8,opus,6k,127.42007446289062,10.300454139709473,4656.25,-14.69126995561492,2,0.125
test-clean,1107,4077,13754,11,mp3,128k,23.164142608642578,3.665012836456299,7281.25,-0.4823369852376019,0,0.0
