dataset,codec,bitrate,spectral_distortion_mean,spectral_distortion_median,spectral_distortion_std,lsd_db_mean,lsd_db_std,retained_bandwidth_mean_hz,retained_bandwidth_median_hz,hf_power_change_mean_db,estimated_delay_mean_samples
test-clean,mp3,128k,23.59462327903509,20.980761528015137,14.753852234755863,3.5382590330839157,1.4215394197321458,7292.3125,7281.25,-0.9054338349148465,0.0
test-clean,mp3,64k,27.85694678783417,25.176380157470703,15.415035944452775,4.149926893472672,1.3187252160176433,7292.125,7281.25,-0.8962491349457178,0.0
test-clean,mp3,32k,53.54964120483398,50.413658142089844,21.071343869449226,6.3077139821052555,1.3878619075741205,7293.3125,7281.25,-0.6170209858365285,0.0
test-clean,mp3,24k,120.37263483810425,112.3400764465332,51.05489144740539,9.198711414337158,2.241275341801135,5834.5,5812.5,-2.3192372771044654,0.0
test-clean,mp3,16k,186.05037520599365,172.74080657958984,72.61718398882056,11.666824580192566,2.6322643495472344,5594.75,5562.5,-3.6859046431012916,0.0
test-clean,opus,64k,3.2580472486019136,3.063110589981079,1.1337999911197032,1.657177726984024,0.3195063820282793,8000.0,8000.0,-0.43088780360157847,0.0
test-clean,opus,32k,18.192432236671447,17.766963005065918,4.968882178304815,3.9808057723045347,0.6723919268671803,8000.0,8000.0,-2.85317674896047,0.0
test-clean,opus,16k,32.274479997634884,31.757211685180664,6.994373088693751,5.394030029296875,0.725895591126737,8000.0,8000.0,-2.8542662893163513,0.0
test-clean,opus,12k,37.4949483757019,36.93904113769531,7.1783600058983055,5.853660299777984,0.7008522095935295,8000.0,8000.0,-1.7705980149272207,0.0
test-clean,opus,8k,178.88012836456298,165.64669799804688,72.86761923601021,11.433259075164795,2.6460295059714705,4616.125,4593.75,-17.341605532637764,1.992
test-clean,opus,6k,181.18448080444335,167.60437774658203,71.87937513705336,11.618488951683045,2.563389688188111,4668.0,4625.0,-15.253515321055001,1.974
test-other,mp3,128k,22.616148112773896,16.648198127746582,20.16296567572492,3.2123598918914795,1.8597047246783882,7289.6875,7281.25,-0.9398976371219371,0.0
test-other,mp3,64k,25.99027564394474,19.54567050933838,21.018934768787524,3.730057197809219,1.7809911493688464,7287.375,7281.25,-0.9270110675597449,0.0
test-other,mp3,32k,46.78235108947754,38.06180763244629,28.73138283848651,5.572669718503952,1.9120852808263207,7287.0625,7281.25,-0.664780915320007,0.0
test-other,mp3,24k,104.90985491085053,82.40210723876953,72.03967576637207,8.09619177389145,3.0850736229282245,5820.625,5812.5,-2.4976023342099607,0.0
test-other,mp3,16k,159.66416300201416,129.7931671142578,96.69245738504159,10.285407364368439,3.4996518489013164,5562.375,5562.5,-3.9084845384055233,0.0
test-other,opus,64k,2.9537407448291777,2.703369617462158,1.2947420992286962,1.5331660615205764,0.3921952078537582,8000.0,8000.0,-0.46285243143631777,0.0
test-other,opus,32k,16.857122578144075,15.894098281860352,6.448619152513213,3.7216959311962126,0.8897141464560949,8000.0,8000.0,-2.851560412001309,0.0
test-other,opus,16k,30.40305756378174,29.122605323791504,9.070276967167262,5.116430867195129,0.9489615151909447,8000.0,8000.0,-2.7952280124859628,0.0
test-other,opus,12k,35.7316464767456,34.56962585449219,9.18840960842465,5.596473620414734,0.9056207335085226,8000.0,8000.0,-1.7214192723375212,0.0
test-other,opus,8k,159.18030235671998,128.1268539428711,98.82556856608818,10.421149996757507,3.5085424516169765,4669.6875,4656.25,-16.435852337561496,1.994
test-other,opus,6k,162.0469071960449,130.53101348876953,97.93003385688141,10.648759445667267,3.4150766724266126,4704.25,4718.75,-14.399655077906402,1.958
